,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,hamming_factors_decays
0,0,5.0,100,0.007084699987899512,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",100,0.2,100,
1,10,0.0,202,0.02345059998333454,"[7, 8, 2, 7, 7, 0, 5, 7, 2, 3, 6, 0, 6, 6, 4, 6, 0, 6, 4, 2]",100,0.2,100,
2,20,0.0,202,0.02345059998333454,"[7, 8, 2, 7, 7, 0, 5, 7, 2, 3, 6, 0, 6, 6, 4, 6, 0, 6, 4, 2]",100,0.2,100,
3,50,0.0,202,0.02345059998333454,"[7, 8, 2, 7, 7, 0, 5, 7, 2, 3, 6, 0, 6, 6, 4, 6, 0, 6, 4, 2]",100,0.2,100,
4,100,0.0,202,0.02345059998333454,"[7, 8, 2, 7, 7, 0, 5, 7, 2, 3, 6, 0, 6, 6, 4, 6, 0, 6, 4, 2]",100,0.2,100,
5,0,5.0,100,0.0068376000272110105,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",100,0.4,100,
6,10,0.0,202,0.022397900000214577,"[3, 2, 5, 7, 7, 4, 1, 1, 5, 4, 4, 0, 8, 0, 8, 5, 2, 5, 1, 6]",100,0.4,100,
7,20,0.0,202,0.022397900000214577,"[3, 2, 5, 7, 7, 4, 1, 1, 5, 4, 4, 0, 8, 0, 8, 5, 2, 5, 1, 6]",100,0.4,100,
8,50,0.0,202,0.022397900000214577,"[3, 2, 5, 7, 7, 4, 1, 1, 5, 4, 4, 0, 8, 0, 8, 5, 2, 5, 1, 6]",100,0.4,100,
9,100,0.0,202,0.022397900000214577,"[3, 2, 5, 7, 7, 4, 1, 1, 5, 4, 4, 0, 8, 0, 8, 5, 2, 5, 1, 6]",100,0.4,100,
10,0,5.0,100,0.009654499997850507,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",100,0.6,100,
11,10,0.0,202,0.026291799964383245,"[3, 2, 5, 7, 7, 4, 1, 1, 5, 4, 4, 0, 8, 0, 8, 5, 2, 5, 1, 6]",100,0.6,100,
12,20,0.0,202,0.026291799964383245,"[3, 2, 5, 7, 7, 4, 1, 1, 5, 4, 4, 0, 8, 0, 8, 5, 2, 5, 1, 6]",100,0.6,100,
13,50,0.0,202,0.026291799964383245,"[3, 2, 5, 7, 7, 4, 1, 1, 5, 4, 4, 0, 8, 0, 8, 5, 2, 5, 1, 6]",100,0.6,100,
14,100,0.0,202,0.026291799964383245,"[3, 2, 5, 7, 7, 4, 1, 1, 5, 4, 4, 0, 8, 0, 8, 5, 2, 5, 1, 6]",100,0.6,100,
15,0,5.0,100,0.006622400018386543,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",100,0.8,100,
16,10,0.0,708,0.07580330001655966,"[4, 2, 6, 3, 8, 7, 7, 1, 4, 8, 6, 6, 2, 5, 7, 5, 2, 1, 0, 1]",100,0.8,100,
17,20,0.0,708,0.07580330001655966,"[4, 2, 6, 3, 8, 7, 7, 1, 4, 8, 6, 6, 2, 5, 7, 5, 2, 1, 0, 1]",100,0.8,100,
18,50,0.0,708,0.07580330001655966,"[4, 2, 6, 3, 8, 7, 7, 1, 4, 8, 6, 6, 2, 5, 7, 5, 2, 1, 0, 1]",100,0.8,100,
19,100,0.0,708,0.07580330001655966,"[4, 2, 6, 3, 8, 7, 7, 1, 4, 8, 6, 6, 2, 5, 7, 5, 2, 1, 0, 1]",100,0.8,100,
20,0,5.0,200,0.012652200006414205,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",200,0.2,100,
21,10,0.0,402,0.03854789998149499,"[1, 6, 4, 1, 5, 5, 3, 0, 0, 6, 3, 3, 8, 4, 3, 2, 8, 1, 7, 6]",200,0.2,100,
22,20,0.0,402,0.03854789998149499,"[1, 6, 4, 1, 5, 5, 3, 0, 0, 6, 3, 3, 8, 4, 3, 2, 8, 1, 7, 6]",200,0.2,100,
23,50,0.0,402,0.03854789998149499,"[1, 6, 4, 1, 5, 5, 3, 0, 0, 6, 3, 3, 8, 4, 3, 2, 8, 1, 7, 6]",200,0.2,100,
24,100,0.0,402,0.03854789998149499,"[1, 6, 4, 1, 5, 5, 3, 0, 0, 6, 3, 3, 8, 4, 3, 2, 8, 1, 7, 6]",200,0.2,100,
25,0,5.0,200,0.012807700026314706,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",200,0.4,100,
26,10,0.0,604,0.05907730001490563,"[8, 5, 7, 6, 2, 3, 7, 2, 3, 1, 5, 4, 0, 7, 0, 2, 2, 0, 4, 5]",200,0.4,100,
27,20,0.0,604,0.05907730001490563,"[8, 5, 7, 6, 2, 3, 7, 2, 3, 1, 5, 4, 0, 7, 0, 2, 2, 0, 4, 5]",200,0.4,100,
28,50,0.0,604,0.05907730001490563,"[8, 5, 7, 6, 2, 3, 7, 2, 3, 1, 5, 4, 0, 7, 0, 2, 2, 0, 4, 5]",200,0.4,100,
29,100,0.0,604,0.05907730001490563,"[8, 5, 7, 6, 2, 3, 7, 2, 3, 1, 5, 4, 0, 7, 0, 2, 2, 0, 4, 5]",200,0.4,100,
30,0,5.0,200,0.012804400001186877,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",200,0.6,100,
31,10,0.0,604,0.0595898000174202,"[5, 5, 7, 0, 3, 8, 7, 4, 8, 6, 5, 4, 3, 4, 5, 7, 2, 6, 2, 1]",200,0.6,100,
32,20,0.0,604,0.0595898000174202,"[5, 5, 7, 0, 3, 8, 7, 4, 8, 6, 5, 4, 3, 4, 5, 7, 2, 6, 2, 1]",200,0.6,100,
33,50,0.0,604,0.0595898000174202,"[5, 5, 7, 0, 3, 8, 7, 4, 8, 6, 5, 4, 3, 4, 5, 7, 2, 6, 2, 1]",200,0.6,100,
34,100,0.0,604,0.0595898000174202,"[5, 5, 7, 0, 3, 8, 7, 4, 8, 6, 5, 4, 3, 4, 5, 7, 2, 6, 2, 1]",200,0.6,100,
35,0,5.0,200,0.012541499978397042,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",200,0.8,100,
36,10,0.0,604,0.05936079996172339,"[2, 6, 1, 2, 5, 3, 6, 4, 4, 8, 8, 0, 5, 4, 7, 5, 7, 5, 0, 3]",200,0.8,100,
37,20,0.0,604,0.05936079996172339,"[2, 6, 1, 2, 5, 3, 6, 4, 4, 8, 8, 0, 5, 4, 7, 5, 7, 5, 0, 3]",200,0.8,100,
