,Iteration,Fitness,FEvals,Time,State,max_iters,pop_size,mutation_prob,init_state,algorithm,activation,bias,early_stopping,clip_max,hidden_layer_sizes,learning_rate_init,max_attempts
0,0,18.14611515452105,101,0.16900019999593496,"[93.40596780273535, 9.446449835144463, 94.53687199297687, 42.96319873487292, 39.54576491945417, -56.78210088392473, 95.25489095524836, -98.75394895908202, -49.40352752331121, -13.041693519110837, 55.876584358750506, -60.462985079949384, 72.59864711984446, 96.68013543506254, -67.23155171906026, 19.46678878657184, -98.202780466489, -22.685743471274122, -91.16798841370009, 91.33059354284717, -12.770670624040463, 89.79546135631256, 57.261197187012186, 73.25785971633968, -65.36691570081037, -85.01028259737859, 20.14854427555386, -66.40556325631923, 46.67603350211397, -18.311227969597056, 5.581764683584069, 87.51431679018839, 4.339224488991604, -78.36132342255387, -68.35531856304011, 9.040530340642562, 4.880816013694684, 27.522048825198738, -19.700911281945423, 29.961021803868448, -20.619999419653467, 24.78322270964462, 53.48099341802478, -64.20521799177384, -24.884846282491523, 0.5066118653868728, 37.33341598326916, -49.26407026772337, 10.94817258851171, 24.986168812819542, 79.10023321122921, -27.429282313374713, 27.511414603747326, -61.71071957620733, -0.44117707653884963, -63.51091908575863, 83.67660782795255, -13.635585731754475, 66.03762041966925, -16.64473906432748, 80.93351774867338, -19.034956537818786, -33.76509938177546, 14.427754054549723, 69.08872981882266, 72.2028623506144, 19.137623413666887, -83.06767779591794, 19.453321463834982, -50.90925828337958, 46.51868971799357, 78.93025846334777, 2.94679418262902, 20.71270207204128, -86.98643752343852, 8.014945928561275, -74.16264326591246, 22.9125692700664, -27.26993059103242, 53.55160686614914, -90.2931727160895, -78.03637637643119, 36.80464302472552, 2.9307394167312992, 14.328274322949824, 68.74139879813109, -2.4524721700651497, 62.028884425228966, 2.048725858988007, 85.34413864805023, 33.38555430792519, -70.2546321131886, -27.08936493484883, 73.15498318881987, -29.942957828896866, -62.19484810876903, -5.475738166845389, -21.443765035574017, 23.785985328818725, -12.646741612097358, -47.815568541100895, -17.50555766744864, -16.193193089539932, 80.48437117522818, 95.92325240809708, 24.71376788138278, -83.36317548582777, 46.599743519198995, 35.73708049579679, 65.2045734050439, -30.509732657788874, -88.22398116837537, 22.364363291058424, -75.1970763373456, 51.905905832666264, 58.88466351532844, -18.27464265002041, 88.75950117660912, -65.24404124894482, 88.51716994539603]",1000,100,0.8,"[0.9340596780273533, 0.09446449835144466, 0.9453687199297687, 0.4296319873487293, 0.3954576491945416, -0.5678210088392472, 0.9525489095524835, -0.9875394895908203, -0.4940352752331121, -0.13041693519110842, 0.5587658435875049, -0.6046298507994938, 0.7259864711984445, 0.9668013543506255, -0.6723155171906026, 0.19466788786571843, -0.98202780466489, -0.22685743471274122, -0.9116798841370009, 0.9133059354284718, -0.1277067062404047, 0.8979546135631256, 0.5726119718701219, 0.7325785971633969, -0.6536691570081037, -0.850102825973786, 0.2014854427555386, -0.6640556325631923, 0.4667603350211398, -0.18311227969597055, 0.05581764683584067, 0.875143167901884, 0.043392244889916, -0.7836132342255386, -0.6835531856304011, 0.09040530340642561, 0.04880816013694678, 0.2752204882519873, -0.1970091128194542, 0.2996102180386846, -0.20619999419653467, 0.24783222709644614, 0.5348099341802477, -0.6420521799177383, -0.24884846282491524, 0.005066118653868745, 0.3733341598326916, -0.4926407026772337, 0.10948172588511706, 0.24986168812819542, 0.7910023321122921, -0.27429282313374714, 0.2751141460374733, -0.6171071957620733, -0.004411770765388567, -0.6351091908575863, 0.8367660782795254, -0.13635585731754474, 0.6603762041966925, -0.16644739064327485, 0.8093351774867339, -0.19034956537818792, -0.33765099381775454, 0.14427754054549724, 0.6908872981882266, 0.7220286235061439, 0.19137623413666893, -0.8306767779591795, 0.19453321463834983, -0.5090925828337958, 0.46518689717993555, 0.7893025846334776, 0.0294679418262902, 0.20712702072041278, -0.8698643752343853, 0.08014945928561268, -0.7416264326591246, 0.22912569270066396, -0.2726993059103242, 0.5355160686614915, -0.902931727160895, -0.7803637637643119, 0.36804643024725525, 0.029307394167312983, 0.1432827432294983, 0.6874139879813108, -0.024524721700651453, 0.6202888442522898, 0.020487258589880097, 0.8534413864805024, 0.333855543079252, -0.7025463211318861, -0.27089364934848836, 0.7315498318881986, -0.29942957828896866, -0.6219484810876903, -0.0547573816684539, -0.21443765035574014, 0.23785985328818726, -0.12646741612097356, -0.47815568541100895, -0.17505557667448635, -0.16193193089539926, 0.8048437117522818, 0.9592325240809707, 0.24713767881382775, -0.8336317548582777, 0.46599743519199, 0.357370804957968, 0.6520457340504391, -0.3050973265778887, -0.8822398116837538, 0.2236436329105842, -0.751970763373456, 0.5190590583266628, 0.5888466351532844, -0.18274642650020412, 0.8875950117660911, -0.6524404124894483, 0.8851716994539605]",ga,relu,False,False,100,[10],0.1,1000
1,100,3.9358012321449762,10207,19.145011999993585,"[-45.692437321171184, -21.59333144560975, -13.704466763701987, -76.30044717720916, -82.07515931022536, -86.48002308234202, 44.15819559245753, -8.92328781931144, 39.94782369861713, -74.92516347149159, 31.72739811687387, -89.30087747113441, -6.173213320400393, -32.197729393500495, 14.47992885819069, -86.55101211408662, 80.27887102923762, 97.41344794502612, -64.27250570608038, 53.67622773149631, -98.06774058564865, -87.22973613960004, 69.32863837298734, -15.210482334884418, 26.486152537856526, -36.74635796721659, -87.45308382563057, -17.524885295923596, -44.486663797362084, 2.0914175899062712, -81.30470031096078, 51.51429462809293, -59.877552316287264, 18.316585419750183, -44.63912230152931, 20.695038452570998, -1.1292973627363665, 42.95867029331103, 98.54426140444167, -20.3677563700207, -88.67578129502354, -3.0274442115191533, 30.733368610854768, -30.236547193467416, -43.75425232814223, -49.20376938175293, -79.45157746647094, -20.445338520388788, -6.112824783641841, 25.332020013539733, 74.26447134343348, 61.27881795554592, 94.95586852828751, -38.987838167966935, -94.14496541573132, 1.10627515663775, 30.97983046297614, 4.2495120989744635, -7.287500151327976, -24.651523632287592, 48.79755703121168, 89.97840316776296, 18.134113447116107, -39.16075840938768, 72.42185428995592, 55.98249155725455, -39.63078572606469, 6.699576878461585, -72.43501641444969, -23.315248589088668, 45.797326018896, -51.796048337901325, 97.05157991983808, -30.52668558742144, -28.43038232811446, -57.210805787690575, -12.632499600082923, -3.955012821593101, 67.09471599131993, -60.287184483361855, -80.75105698737855, 64.58527970976792, -85.47028176886488, 56.18644544495518, 26.833138744561396, -8.315325850099356, 70.49983759460144, -16.21815688886825, -48.94223315754955, -95.23004893708824, 72.36115982177637, -99.01627889689321, -86.66680056176826, -2.2475285925049917, -88.53795770716874, 37.24101028711934, 27.75128766811534, -13.189768931626219, -38.03845353356499, -36.36536476336947, -72.14076424376057, -61.55592908645389, 6.761330400645946, -82.19246979193555, -76.34617180379112, 78.28270568841646, 69.48510298939473, -13.90717522103057, -23.24194819532927, 41.911209510820754, -52.84171374800544, -98.3245004510075, -34.2354978084293, -74.53800872473366, -1.3280946893802223, 34.23292461716116, 28.71589319894889, -65.93885690574434, -23.1544438970473, -92.99934462597122]",1000,100,0.8,"[0.9340596780273533, 0.09446449835144466, 0.9453687199297687, 0.4296319873487293, 0.3954576491945416, -0.5678210088392472, 0.9525489095524835, -0.9875394895908203, -0.4940352752331121, -0.13041693519110842, 0.5587658435875049, -0.6046298507994938, 0.7259864711984445, 0.9668013543506255, -0.6723155171906026, 0.19466788786571843, -0.98202780466489, -0.22685743471274122, -0.9116798841370009, 0.9133059354284718, -0.1277067062404047, 0.8979546135631256, 0.5726119718701219, 0.7325785971633969, -0.6536691570081037, -0.850102825973786, 0.2014854427555386, -0.6640556325631923, 0.4667603350211398, -0.18311227969597055, 0.05581764683584067, 0.875143167901884, 0.043392244889916, -0.7836132342255386, -0.6835531856304011, 0.09040530340642561, 0.04880816013694678, 0.2752204882519873, -0.1970091128194542, 0.2996102180386846, -0.20619999419653467, 0.24783222709644614, 0.5348099341802477, -0.6420521799177383, -0.24884846282491524, 0.005066118653868745, 0.3733341598326916, -0.4926407026772337, 0.10948172588511706, 0.24986168812819542, 0.7910023321122921, -0.27429282313374714, 0.2751141460374733, -0.6171071957620733, -0.004411770765388567, -0.6351091908575863, 0.8367660782795254, -0.13635585731754474, 0.6603762041966925, -0.16644739064327485, 0.8093351774867339, -0.19034956537818792, -0.33765099381775454, 0.14427754054549724, 0.6908872981882266, 0.7220286235061439, 0.19137623413666893, -0.8306767779591795, 0.19453321463834983, -0.5090925828337958, 0.46518689717993555, 0.7893025846334776, 0.0294679418262902, 0.20712702072041278, -0.8698643752343853, 0.08014945928561268, -0.7416264326591246, 0.22912569270066396, -0.2726993059103242, 0.5355160686614915, -0.902931727160895, -0.7803637637643119, 0.36804643024725525, 0.029307394167312983, 0.1432827432294983, 0.6874139879813108, -0.024524721700651453, 0.6202888442522898, 0.020487258589880097, 0.8534413864805024, 0.333855543079252, -0.7025463211318861, -0.27089364934848836, 0.7315498318881986, -0.29942957828896866, -0.6219484810876903, -0.0547573816684539, -0.21443765035574014, 0.23785985328818726, -0.12646741612097356, -0.47815568541100895, -0.17505557667448635, -0.16193193089539926, 0.8048437117522818, 0.9592325240809707, 0.24713767881382775, -0.8336317548582777, 0.46599743519199, 0.357370804957968, 0.6520457340504391, -0.3050973265778887, -0.8822398116837538, 0.2236436329105842, -0.751970763373456, 0.5190590583266628, 0.5888466351532844, -0.18274642650020412, 0.8875950117660911, -0.6524404124894483, 0.8851716994539605]",ga,relu,False,False,100,[10],0.1,1000
2,500,3.9358012321449762,50607,92.41926230001263,"[-45.692437321171184, -21.59333144560975, -13.704466763701987, -76.30044717720916, -82.07515931022536, -86.48002308234202, 44.15819559245753, -8.92328781931144, 39.94782369861713, -74.92516347149159, 31.72739811687387, -89.30087747113441, -6.173213320400393, -32.197729393500495, 14.47992885819069, -86.55101211408662, 80.27887102923762, 97.41344794502612, -64.27250570608038, 53.67622773149631, -98.06774058564865, -87.22973613960004, 69.32863837298734, -15.210482334884418, 26.486152537856526, -36.74635796721659, -87.45308382563057, -17.524885295923596, -44.486663797362084, 2.0914175899062712, -81.30470031096078, 51.51429462809293, -59.877552316287264, 18.316585419750183, -44.63912230152931, 20.695038452570998, -1.1292973627363665, 42.95867029331103, 98.54426140444167, -20.3677563700207, -88.67578129502354, -3.0274442115191533, 30.733368610854768, -30.236547193467416, -43.75425232814223, -49.20376938175293, -79.45157746647094, -20.445338520388788, -6.112824783641841, 25.332020013539733, 74.26447134343348, 61.27881795554592, 94.95586852828751, -38.987838167966935, -94.14496541573132, 1.10627515663775, 30.97983046297614, 4.2495120989744635, -7.287500151327976, -24.651523632287592, 48.79755703121168, 89.97840316776296, 18.134113447116107, -39.16075840938768, 72.42185428995592, 55.98249155725455, -39.63078572606469, 6.699576878461585, -72.43501641444969, -23.315248589088668, 45.797326018896, -51.796048337901325, 97.05157991983808, -30.52668558742144, -28.43038232811446, -57.210805787690575, -12.632499600082923, -3.955012821593101, 67.09471599131993, -60.287184483361855, -80.75105698737855, 64.58527970976792, -85.47028176886488, 56.18644544495518, 26.833138744561396, -8.315325850099356, 70.49983759460144, -16.21815688886825, -48.94223315754955, -95.23004893708824, 72.36115982177637, -99.01627889689321, -86.66680056176826, -2.2475285925049917, -88.53795770716874, 37.24101028711934, 27.75128766811534, -13.189768931626219, -38.03845353356499, -36.36536476336947, -72.14076424376057, -61.55592908645389, 6.761330400645946, -82.19246979193555, -76.34617180379112, 78.28270568841646, 69.48510298939473, -13.90717522103057, -23.24194819532927, 41.911209510820754, -52.84171374800544, -98.3245004510075, -34.2354978084293, -74.53800872473366, -1.3280946893802223, 34.23292461716116, 28.71589319894889, -65.93885690574434, -23.1544438970473, -92.99934462597122]",1000,100,0.8,"[0.9340596780273533, 0.09446449835144466, 0.9453687199297687, 0.4296319873487293, 0.3954576491945416, -0.5678210088392472, 0.9525489095524835, -0.9875394895908203, -0.4940352752331121, -0.13041693519110842, 0.5587658435875049, -0.6046298507994938, 0.7259864711984445, 0.9668013543506255, -0.6723155171906026, 0.19466788786571843, -0.98202780466489, -0.22685743471274122, -0.9116798841370009, 0.9133059354284718, -0.1277067062404047, 0.8979546135631256, 0.5726119718701219, 0.7325785971633969, -0.6536691570081037, -0.850102825973786, 0.2014854427555386, -0.6640556325631923, 0.4667603350211398, -0.18311227969597055, 0.05581764683584067, 0.875143167901884, 0.043392244889916, -0.7836132342255386, -0.6835531856304011, 0.09040530340642561, 0.04880816013694678, 0.2752204882519873, -0.1970091128194542, 0.2996102180386846, -0.20619999419653467, 0.24783222709644614, 0.5348099341802477, -0.6420521799177383, -0.24884846282491524, 0.005066118653868745, 0.3733341598326916, -0.4926407026772337, 0.10948172588511706, 0.24986168812819542, 0.7910023321122921, -0.27429282313374714, 0.2751141460374733, -0.6171071957620733, -0.004411770765388567, -0.6351091908575863, 0.8367660782795254, -0.13635585731754474, 0.6603762041966925, -0.16644739064327485, 0.8093351774867339, -0.19034956537818792, -0.33765099381775454, 0.14427754054549724, 0.6908872981882266, 0.7220286235061439, 0.19137623413666893, -0.8306767779591795, 0.19453321463834983, -0.5090925828337958, 0.46518689717993555, 0.7893025846334776, 0.0294679418262902, 0.20712702072041278, -0.8698643752343853, 0.08014945928561268, -0.7416264326591246, 0.22912569270066396, -0.2726993059103242, 0.5355160686614915, -0.902931727160895, -0.7803637637643119, 0.36804643024725525, 0.029307394167312983, 0.1432827432294983, 0.6874139879813108, -0.024524721700651453, 0.6202888442522898, 0.020487258589880097, 0.8534413864805024, 0.333855543079252, -0.7025463211318861, -0.27089364934848836, 0.7315498318881986, -0.29942957828896866, -0.6219484810876903, -0.0547573816684539, -0.21443765035574014, 0.23785985328818726, -0.12646741612097356, -0.47815568541100895, -0.17505557667448635, -0.16193193089539926, 0.8048437117522818, 0.9592325240809707, 0.24713767881382775, -0.8336317548582777, 0.46599743519199, 0.357370804957968, 0.6520457340504391, -0.3050973265778887, -0.8822398116837538, 0.2236436329105842, -0.751970763373456, 0.5190590583266628, 0.5888466351532844, -0.18274642650020412, 0.8875950117660911, -0.6524404124894483, 0.8851716994539605]",ga,relu,False,False,100,[10],0.1,1000
3,1000,3.9358012321449762,101107,182.01049490005244,"[-45.692437321171184, -21.59333144560975, -13.704466763701987, -76.30044717720916, -82.07515931022536, -86.48002308234202, 44.15819559245753, -8.92328781931144, 39.94782369861713, -74.92516347149159, 31.72739811687387, -89.30087747113441, -6.173213320400393, -32.197729393500495, 14.47992885819069, -86.55101211408662, 80.27887102923762, 97.41344794502612, -64.27250570608038, 53.67622773149631, -98.06774058564865, -87.22973613960004, 69.32863837298734, -15.210482334884418, 26.486152537856526, -36.74635796721659, -87.45308382563057, -17.524885295923596, -44.486663797362084, 2.0914175899062712, -81.30470031096078, 51.51429462809293, -59.877552316287264, 18.316585419750183, -44.63912230152931, 20.695038452570998, -1.1292973627363665, 42.95867029331103, 98.54426140444167, -20.3677563700207, -88.67578129502354, -3.0274442115191533, 30.733368610854768, -30.236547193467416, -43.75425232814223, -49.20376938175293, -79.45157746647094, -20.445338520388788, -6.112824783641841, 25.332020013539733, 74.26447134343348, 61.27881795554592, 94.95586852828751, -38.987838167966935, -94.14496541573132, 1.10627515663775, 30.97983046297614, 4.2495120989744635, -7.287500151327976, -24.651523632287592, 48.79755703121168, 89.97840316776296, 18.134113447116107, -39.16075840938768, 72.42185428995592, 55.98249155725455, -39.63078572606469, 6.699576878461585, -72.43501641444969, -23.315248589088668, 45.797326018896, -51.796048337901325, 97.05157991983808, -30.52668558742144, -28.43038232811446, -57.210805787690575, -12.632499600082923, -3.955012821593101, 67.09471599131993, -60.287184483361855, -80.75105698737855, 64.58527970976792, -85.47028176886488, 56.18644544495518, 26.833138744561396, -8.315325850099356, 70.49983759460144, -16.21815688886825, -48.94223315754955, -95.23004893708824, 72.36115982177637, -99.01627889689321, -86.66680056176826, -2.2475285925049917, -88.53795770716874, 37.24101028711934, 27.75128766811534, -13.189768931626219, -38.03845353356499, -36.36536476336947, -72.14076424376057, -61.55592908645389, 6.761330400645946, -82.19246979193555, -76.34617180379112, 78.28270568841646, 69.48510298939473, -13.90717522103057, -23.24194819532927, 41.911209510820754, -52.84171374800544, -98.3245004510075, -34.2354978084293, -74.53800872473366, -1.3280946893802223, 34.23292461716116, 28.71589319894889, -65.93885690574434, -23.1544438970473, -92.99934462597122]",1000,100,0.8,"[0.9340596780273533, 0.09446449835144466, 0.9453687199297687, 0.4296319873487293, 0.3954576491945416, -0.5678210088392472, 0.9525489095524835, -0.9875394895908203, -0.4940352752331121, -0.13041693519110842, 0.5587658435875049, -0.6046298507994938, 0.7259864711984445, 0.9668013543506255, -0.6723155171906026, 0.19466788786571843, -0.98202780466489, -0.22685743471274122, -0.9116798841370009, 0.9133059354284718, -0.1277067062404047, 0.8979546135631256, 0.5726119718701219, 0.7325785971633969, -0.6536691570081037, -0.850102825973786, 0.2014854427555386, -0.6640556325631923, 0.4667603350211398, -0.18311227969597055, 0.05581764683584067, 0.875143167901884, 0.043392244889916, -0.7836132342255386, -0.6835531856304011, 0.09040530340642561, 0.04880816013694678, 0.2752204882519873, -0.1970091128194542, 0.2996102180386846, -0.20619999419653467, 0.24783222709644614, 0.5348099341802477, -0.6420521799177383, -0.24884846282491524, 0.005066118653868745, 0.3733341598326916, -0.4926407026772337, 0.10948172588511706, 0.24986168812819542, 0.7910023321122921, -0.27429282313374714, 0.2751141460374733, -0.6171071957620733, -0.004411770765388567, -0.6351091908575863, 0.8367660782795254, -0.13635585731754474, 0.6603762041966925, -0.16644739064327485, 0.8093351774867339, -0.19034956537818792, -0.33765099381775454, 0.14427754054549724, 0.6908872981882266, 0.7220286235061439, 0.19137623413666893, -0.8306767779591795, 0.19453321463834983, -0.5090925828337958, 0.46518689717993555, 0.7893025846334776, 0.0294679418262902, 0.20712702072041278, -0.8698643752343853, 0.08014945928561268, -0.7416264326591246, 0.22912569270066396, -0.2726993059103242, 0.5355160686614915, -0.902931727160895, -0.7803637637643119, 0.36804643024725525, 0.029307394167312983, 0.1432827432294983, 0.6874139879813108, -0.024524721700651453, 0.6202888442522898, 0.020487258589880097, 0.8534413864805024, 0.333855543079252, -0.7025463211318861, -0.27089364934848836, 0.7315498318881986, -0.29942957828896866, -0.6219484810876903, -0.0547573816684539, -0.21443765035574014, 0.23785985328818726, -0.12646741612097356, -0.47815568541100895, -0.17505557667448635, -0.16193193089539926, 0.8048437117522818, 0.9592325240809707, 0.24713767881382775, -0.8336317548582777, 0.46599743519199, 0.357370804957968, 0.6520457340504391, -0.3050973265778887, -0.8822398116837538, 0.2236436329105842, -0.751970763373456, 0.5190590583266628, 0.5888466351532844, -0.18274642650020412, 0.8875950117660911, -0.6524404124894483, 0.8851716994539605]",ga,relu,False,False,100,[10],0.1,1000
