,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_mutation_prob,param_pop_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,166.10208158493043,2.422512517288715,0.0016004085540771485,0.0012002468156490633,[10],0.2,100,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.2, 'pop_size': 100}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,0.5,0.5,0.5,0.5,0.5,0.5,0.0
1,327.598486328125,6.078324682438504,0.0014001846313476563,0.0004899208705145337,[10],0.2,200,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.2, 'pop_size': 200}",0.5,0.5,0.5132553606237816,0.49746192893401014,0.5,0.5021434579115583,0.0056422394651309314,13,0.5043478260869565,0.4986754966887417,0.5195,0.4993270524899058,0.5,0.5043700750531208,0.007821419042676983
2,475.9856951236725,2.7129327849490195,0.0014004230499267579,0.0004898235616868641,[10],0.2,300,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.2, 'pop_size': 300}",0.5,0.5124488124488125,0.5,0.5,0.5,0.5024897624897624,0.004979524979524985,12,0.5217391304347826,0.49933774834437084,0.5,0.5,0.5,0.5042153757558306,0.008765630673279005
3,660.1132103919983,11.140378998095995,0.0010001182556152344,9.536743164062499e-08,[10],0.2,400,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.2, 'pop_size': 400}",0.5,0.5,0.5,0.4949238578680203,0.5,0.49898477157360405,0.0020304568527918843,15,0.5,0.5,0.5,0.5039370078740157,0.5,0.5007874015748032,0.0015748031496062964
4,167.37235217094423,1.703819443769187,0.0018002510070800782,0.00040004257295020516,[10],0.4,100,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.4, 'pop_size': 100}",0.49731182795698925,0.5,0.5476608187134503,0.47715736040609136,0.5,0.5044260014153061,0.02324916622309256,11,0.5173913043478261,0.5,0.5113333333333333,0.4995972912538019,0.5,0.5056643857869922,0.007357142841864948
5,343.94973068237306,9.033397528782904,0.0014003753662109376,0.0004899597886342959,[10],0.4,200,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.4, 'pop_size': 200}",0.5,0.4972972972972973,0.49736842105263157,0.5,0.5,0.49893314366998576,0.0013068203787033638,16,0.5,0.50214941326827,0.505,0.5,0.5,0.501429882653654,0.0019696271414515053
6,506.5372559070587,9.06897947398804,0.0012001514434814454,0.00040020949789696785,[10],0.4,300,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.4, 'pop_size': 300}",0.5102486559139785,0.5,0.5106237816764132,0.5,0.5604395604395604,0.5162623996059905,0.02257658940829598,9,0.4953580901856764,0.5,0.5185,0.49865410497981155,0.5689902940067848,0.5163004978344545,0.027556263458665804
7,680.8561775684357,14.18134940013152,0.001200389862060547,0.00040020958311745325,[10],0.4,400,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.4, 'pop_size': 400}",0.5285618279569892,0.5,0.49736842105263157,0.5,0.5,0.5051860498019242,0.011732243274503793,10,0.5355207011878677,0.5,0.49666666666666665,0.5,0.5,0.5064374735709068,0.014598808130174685
8,177.25008611679078,2.0292300501497595,0.0014004230499267579,0.0004901156157774262,[10],0.6,100,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.6, 'pop_size': 100}",0.5646841397849462,0.6093366093366093,0.5926900584795322,0.6521573604060913,0.5318681318681319,0.5901472599750621,0.04065655364474575,5,0.6402375735209318,0.6985186476124086,0.587,0.6406566272082745,0.5942565020731247,0.6321338700829479,0.04004249573161013
9,359.7560437202454,8.244598519690062,0.0016005516052246093,0.0004898236313161175,[10],0.6,200,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.6, 'pop_size': 200}",0.5619959677419355,0.6352989352989353,0.5529239766081872,0.6597715736040609,0.606043956043956,0.603206881859415,0.041144193366652995,3,0.5606504440087648,0.6727024514929708,0.6086666666666667,0.5804569684509491,0.5987207877874104,0.6042394636813524,0.03795483190686199
10,522.6677997589111,9.960867838611701,0.001000356674194336,3.1629798797182086e-07,[10],0.6,300,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.6, 'pop_size': 300}",0.5,0.4945945945945946,0.5,0.6148477157360406,0.5258241758241758,0.5270532972309623,0.04522543492117501,8,0.4993368700265252,0.49933774834437084,0.5,0.6382668687275463,0.5241471918582736,0.5322177357913432,0.053873517953395116
11,672.2831845760345,8.807878660984347,0.0009570121765136719,8.702336925151253e-05,[10],0.6,400,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.6, 'pop_size': 400}",0.5329301075268817,0.5871416871416871,0.6905458089668616,0.6123096446700508,0.5230769230769231,0.589200834276481,0.06057693855086711,6,0.5686829662092031,0.5727373068432671,0.6526666666666666,0.6493042676529499,0.5623468714662646,0.6011476157676703,0.0408408437934638
12,184.93245968818664,6.3246918825295,0.0012001991271972656,0.0004000664325664057,[10],0.8,100,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.8, 'pop_size': 100}",0.5619959677419355,0.6352989352989353,0.6191033138401559,0.6720812182741117,0.6038461538461538,0.6184651178002585,0.03622416307159417,2,0.6047918348518049,0.6886720111537121,0.6138333333333333,0.6780078634181494,0.6101347531096871,0.6390879591733374,0.03640232291593121
