,Iteration,Fitness,FEvals,Time,State,max_iters,pop_size,mutation_prob,init_state,algorithm,activation,bias,early_stopping,clip_max,hidden_layer_sizes,learning_rate_init,max_attempts
0,0,18.84643282315575,401,0.6011917000869289,"[93.40596780273535, 9.446449835144463, 94.53687199297687, 42.96319873487292, 39.54576491945417, -56.78210088392473, 95.25489095524836, -98.75394895908202, -49.40352752331121, -13.041693519110837, 55.876584358750506, -60.462985079949384, 72.59864711984446, 96.68013543506254, -67.23155171906026, 19.46678878657184, -98.202780466489, -22.685743471274122, -91.16798841370009, 91.33059354284717, -12.770670624040463, 89.79546135631256, 57.261197187012186, 73.25785971633968, -65.36691570081037, -85.01028259737859, 20.14854427555386, -66.40556325631923, 46.67603350211397, -18.311227969597056, 5.581764683584069, 87.51431679018839, 4.339224488991604, -78.36132342255387, -68.35531856304011, 9.040530340642562, 4.880816013694684, 27.522048825198738, -19.700911281945423, 29.961021803868448, -20.619999419653467, 24.78322270964462, 53.48099341802478, -64.20521799177384, -24.884846282491523, 0.5066118653868728, 37.33341598326916, -49.26407026772337, 10.94817258851171, 24.986168812819542, 79.10023321122921, -27.429282313374713, 27.511414603747326, -61.71071957620733, -0.44117707653884963, -63.51091908575863, 83.67660782795255, -13.635585731754475, 66.03762041966925, -16.64473906432748, 80.93351774867338, -19.034956537818786, -33.76509938177546, 14.427754054549723, 69.08872981882266, 72.2028623506144, 19.137623413666887, -83.06767779591794, 19.453321463834982, -50.90925828337958, 46.51868971799357, 78.93025846334777, 2.94679418262902, 20.71270207204128, -86.98643752343852, 8.014945928561275, -74.16264326591246, 22.9125692700664, -27.26993059103242, 53.55160686614914, -90.2931727160895, -78.03637637643119, 36.80464302472552, 2.9307394167312992, 14.328274322949824, 68.74139879813109, -2.4524721700651497, 62.028884425228966, 2.048725858988007, 85.34413864805023, 33.38555430792519, -70.2546321131886, -27.08936493484883, 73.15498318881987, -29.942957828896866, -62.19484810876903, -5.475738166845389, -21.443765035574017, 23.785985328818725, -12.646741612097358, -47.815568541100895, -17.50555766744864, -16.193193089539932, 80.48437117522818, 95.92325240809708, 24.71376788138278, -83.36317548582777, 46.599743519198995, 35.73708049579679, 65.2045734050439, -30.509732657788874, -88.22398116837537, 22.364363291058424, -75.1970763373456, 51.905905832666264, 58.88466351532844, -18.27464265002041, 88.75950117660912, -65.24404124894482, 88.51716994539603]",1000,400,0.6,"[0.9340596780273533, 0.09446449835144466, 0.9453687199297687, 0.4296319873487293, 0.3954576491945416, -0.5678210088392472, 0.9525489095524835, -0.9875394895908203, -0.4940352752331121, -0.13041693519110842, 0.5587658435875049, -0.6046298507994938, 0.7259864711984445, 0.9668013543506255, -0.6723155171906026, 0.19466788786571843, -0.98202780466489, -0.22685743471274122, -0.9116798841370009, 0.9133059354284718, -0.1277067062404047, 0.8979546135631256, 0.5726119718701219, 0.7325785971633969, -0.6536691570081037, -0.850102825973786, 0.2014854427555386, -0.6640556325631923, 0.4667603350211398, -0.18311227969597055, 0.05581764683584067, 0.875143167901884, 0.043392244889916, -0.7836132342255386, -0.6835531856304011, 0.09040530340642561, 0.04880816013694678, 0.2752204882519873, -0.1970091128194542, 0.2996102180386846, -0.20619999419653467, 0.24783222709644614, 0.5348099341802477, -0.6420521799177383, -0.24884846282491524, 0.005066118653868745, 0.3733341598326916, -0.4926407026772337, 0.10948172588511706, 0.24986168812819542, 0.7910023321122921, -0.27429282313374714, 0.2751141460374733, -0.6171071957620733, -0.004411770765388567, -0.6351091908575863, 0.8367660782795254, -0.13635585731754474, 0.6603762041966925, -0.16644739064327485, 0.8093351774867339, -0.19034956537818792, -0.33765099381775454, 0.14427754054549724, 0.6908872981882266, 0.7220286235061439, 0.19137623413666893, -0.8306767779591795, 0.19453321463834983, -0.5090925828337958, 0.46518689717993555, 0.7893025846334776, 0.0294679418262902, 0.20712702072041278, -0.8698643752343853, 0.08014945928561268, -0.7416264326591246, 0.22912569270066396, -0.2726993059103242, 0.5355160686614915, -0.902931727160895, -0.7803637637643119, 0.36804643024725525, 0.029307394167312983, 0.1432827432294983, 0.6874139879813108, -0.024524721700651453, 0.6202888442522898, 0.020487258589880097, 0.8534413864805024, 0.333855543079252, -0.7025463211318861, -0.27089364934848836, 0.7315498318881986, -0.29942957828896866, -0.6219484810876903, -0.0547573816684539, -0.21443765035574014, 0.23785985328818726, -0.12646741612097356, -0.47815568541100895, -0.17505557667448635, -0.16193193089539926, 0.8048437117522818, 0.9592325240809707, 0.24713767881382775, -0.8336317548582777, 0.46599743519199, 0.357370804957968, 0.6520457340504391, -0.3050973265778887, -0.8822398116837538, 0.2236436329105842, -0.751970763373456, 0.5190590583266628, 0.5888466351532844, -0.18274642650020412, 0.8875950117660911, -0.6524404124894483, 0.8851716994539605]",ga,relu,False,False,100,[10],0.1,1000
1,100,4.459246861602315,40504,74.3678553000791,"[80.11224799559841, -13.273402826801004, -39.03448124323516, 20.277714563159492, 32.95412513338033, 22.383085824425294, 35.05504494364237, 58.27066948327504, 29.69989112530621, 81.02367573990813, -6.552212383337448, 35.247921807500916, -25.79734091585783, -65.60016740289245, -18.48317777710635, 83.95117971713952, 32.64612214770818, -79.9172298760597, 98.8103086849244, -42.79293679916827, -91.10993142171118, -60.752957022279254, -58.87589525988841, 15.425359870502419, 14.579593564010594, 88.1915869063437, 57.26984041508288, 40.95490930235792, 12.61205633901335, 11.10290334958664, -77.71802408376331, -48.49899298916045, -87.5270258573492, -41.32007113092908, -87.17952656984636, 34.483776735234045, -93.64248898777919, 87.66603917324565, 72.69899778772646, 37.600321617270396, 47.543700736355845, -1.8705395721973446, -49.52182129359009, -92.3816467836999, 87.7006925904692, -48.90383109600869, 36.772130348420404, 89.0266801087474, 55.60417941540277, 89.11841194707429, -71.39773441980499, -55.741193911952294, 49.28629086795354, 23.952539352748545, 44.86413005338056, -64.68381551475238, -71.52216536366345, -16.454369841517874, -19.71023400832945, 92.82817073704987, 43.61187175107665, 94.53737602021559, -57.561147335877564, -40.65562921711645, 81.6757849834309, 8.607620567398783, 37.803778909154516, -46.52414845611838, -4.430462659311019, 33.23824764930498, 80.4813438055676, 78.13352952609458, 70.06444675101179, 0.4674174227269958, -86.1115488122318, 0.744702057540735, 8.578180621930727, 85.47566154202488, -23.886776717318355, -43.11480830943986, 95.50312303281615, -77.35779651655086, -66.70786637017747, -42.54319430251581, -7.838653209368005, -41.957175308256154, -31.265302068732595, -85.10562388918628, 48.646546757961346, 13.899244219043624, -86.88384062262426, 48.22159179953479, -3.995777776485454, -79.1193394720045, -88.38410917214719, -33.2433911592902, -5.161274594030019, 58.82068055522046, 84.64192474023713, -85.32318842888056, 29.04644471220334, -99.26830709131443, -82.19452132209321, -78.20706442374743, -46.79403099220731, -79.37086427983024, -40.252184964084336, -98.03659028082407, -76.49822689917394, -33.131734765674864, -45.52312166377277, -14.688745942748398, -61.18067060539454, -70.55041322007904, -20.442386705650662, -85.42189884315844, 15.314991467893634, -32.92039859041584, -6.00796343285252, -54.10995659473097]",1000,400,0.6,"[0.9340596780273533, 0.09446449835144466, 0.9453687199297687, 0.4296319873487293, 0.3954576491945416, -0.5678210088392472, 0.9525489095524835, -0.9875394895908203, -0.4940352752331121, -0.13041693519110842, 0.5587658435875049, -0.6046298507994938, 0.7259864711984445, 0.9668013543506255, -0.6723155171906026, 0.19466788786571843, -0.98202780466489, -0.22685743471274122, -0.9116798841370009, 0.9133059354284718, -0.1277067062404047, 0.8979546135631256, 0.5726119718701219, 0.7325785971633969, -0.6536691570081037, -0.850102825973786, 0.2014854427555386, -0.6640556325631923, 0.4667603350211398, -0.18311227969597055, 0.05581764683584067, 0.875143167901884, 0.043392244889916, -0.7836132342255386, -0.6835531856304011, 0.09040530340642561, 0.04880816013694678, 0.2752204882519873, -0.1970091128194542, 0.2996102180386846, -0.20619999419653467, 0.24783222709644614, 0.5348099341802477, -0.6420521799177383, -0.24884846282491524, 0.005066118653868745, 0.3733341598326916, -0.4926407026772337, 0.10948172588511706, 0.24986168812819542, 0.7910023321122921, -0.27429282313374714, 0.2751141460374733, -0.6171071957620733, -0.004411770765388567, -0.6351091908575863, 0.8367660782795254, -0.13635585731754474, 0.6603762041966925, -0.16644739064327485, 0.8093351774867339, -0.19034956537818792, -0.33765099381775454, 0.14427754054549724, 0.6908872981882266, 0.7220286235061439, 0.19137623413666893, -0.8306767779591795, 0.19453321463834983, -0.5090925828337958, 0.46518689717993555, 0.7893025846334776, 0.0294679418262902, 0.20712702072041278, -0.8698643752343853, 0.08014945928561268, -0.7416264326591246, 0.22912569270066396, -0.2726993059103242, 0.5355160686614915, -0.902931727160895, -0.7803637637643119, 0.36804643024725525, 0.029307394167312983, 0.1432827432294983, 0.6874139879813108, -0.024524721700651453, 0.6202888442522898, 0.020487258589880097, 0.8534413864805024, 0.333855543079252, -0.7025463211318861, -0.27089364934848836, 0.7315498318881986, -0.29942957828896866, -0.6219484810876903, -0.0547573816684539, -0.21443765035574014, 0.23785985328818726, -0.12646741612097356, -0.47815568541100895, -0.17505557667448635, -0.16193193089539926, 0.8048437117522818, 0.9592325240809707, 0.24713767881382775, -0.8336317548582777, 0.46599743519199, 0.357370804957968, 0.6520457340504391, -0.3050973265778887, -0.8822398116837538, 0.2236436329105842, -0.751970763373456, 0.5190590583266628, 0.5888466351532844, -0.18274642650020412, 0.8875950117660911, -0.6524404124894483, 0.8851716994539605]",ga,relu,False,False,100,[10],0.1,1000
2,500,4.289857014961831,200905,361.16294060007203,"[26.674212855110596, -93.33794229084003, 18.64643658146423, -50.7390162066786, -26.867359767693785, -2.6461744538554655, 91.25605256895716, 73.64269257630718, 25.85883203648298, -52.331835738848895, -83.57869153420563, 6.493602720112037, -71.23689934913111, 24.807275572455126, 13.918204378939265, 40.600904337319236, -99.03898846902366, 19.017887141433818, 89.94537316128827, 14.530780835119032, -27.97313293429211, 35.43883981613604, 85.41656424677078, -12.302029468985864, -3.5081140019426442, 52.38516073212372, -5.246382968125516, -86.85836833156357, 48.5204844292812, 2.6507133962259815, -98.95597229422187, -75.06731145370685, 25.80257545977463, 6.5796995057511936, 51.80886726001418, -42.347552314845814, 68.25249569660033, -9.433776172404947, 15.242016233168854, 92.5729427522273, -16.632328644614347, 34.646364948909536, -40.39480246914569, -86.84939726338419, -81.8982344332811, 2.590970074006705, 82.50665378689789, -36.22640675314539, 36.707494333842874, 31.07482823785847, 90.23974373592023, -35.46300617502976, 27.389569283326097, -21.40196614648471, -59.37827816263774, 44.83004855284301, 53.02417800043594, -60.40503159162558, 13.009436625249293, 48.15499702264282, 65.23678486746263, -87.60988690508222, -63.30534850619818, 39.47788057066367, 50.49767616278925, -45.80908241572095, -81.2733249280561, 46.274918639372686, -66.24006633048683, 16.941202231312772, 67.29360389903684, -41.63927077747989, -83.31830431639688, 90.78919065442219, 28.435989543954378, 3.176327564715109, -12.240174768872492, 79.34598808802244, 28.434189619570702, 39.132944505429464, -10.238688788185527, -35.18931927140996, 41.57613061605085, 37.36529074552183, -86.15909870607025, -11.86100945809389, 11.705511820268228, 56.534810364908054, 19.025661273683014, 94.35066410494241, -63.4981169627902, -35.0384157849835, 62.672547924461384, 63.073020732906, -19.541240503330215, 59.69955342409003, 77.02542549305497, -91.73401350219558, -79.80312215674141, -60.26962658843917, -35.911498061656474, -26.21032548121096, 50.872103948351054, -78.20706442374743, -57.544414356476615, -32.6832822772278, -76.95008399139178, 80.47213679851873, 64.38243388593287, -61.06754797713347, -81.87054218708445, -34.474140741803325, 17.93263080428514, -49.00745321699542, 14.272639684551208, -63.877273921502194, -7.397743548405103, -44.07592021430051, -6.00796343285252, -48.322945919536295]",1000,400,0.6,"[0.9340596780273533, 0.09446449835144466, 0.9453687199297687, 0.4296319873487293, 0.3954576491945416, -0.5678210088392472, 0.9525489095524835, -0.9875394895908203, -0.4940352752331121, -0.13041693519110842, 0.5587658435875049, -0.6046298507994938, 0.7259864711984445, 0.9668013543506255, -0.6723155171906026, 0.19466788786571843, -0.98202780466489, -0.22685743471274122, -0.9116798841370009, 0.9133059354284718, -0.1277067062404047, 0.8979546135631256, 0.5726119718701219, 0.7325785971633969, -0.6536691570081037, -0.850102825973786, 0.2014854427555386, -0.6640556325631923, 0.4667603350211398, -0.18311227969597055, 0.05581764683584067, 0.875143167901884, 0.043392244889916, -0.7836132342255386, -0.6835531856304011, 0.09040530340642561, 0.04880816013694678, 0.2752204882519873, -0.1970091128194542, 0.2996102180386846, -0.20619999419653467, 0.24783222709644614, 0.5348099341802477, -0.6420521799177383, -0.24884846282491524, 0.005066118653868745, 0.3733341598326916, -0.4926407026772337, 0.10948172588511706, 0.24986168812819542, 0.7910023321122921, -0.27429282313374714, 0.2751141460374733, -0.6171071957620733, -0.004411770765388567, -0.6351091908575863, 0.8367660782795254, -0.13635585731754474, 0.6603762041966925, -0.16644739064327485, 0.8093351774867339, -0.19034956537818792, -0.33765099381775454, 0.14427754054549724, 0.6908872981882266, 0.7220286235061439, 0.19137623413666893, -0.8306767779591795, 0.19453321463834983, -0.5090925828337958, 0.46518689717993555, 0.7893025846334776, 0.0294679418262902, 0.20712702072041278, -0.8698643752343853, 0.08014945928561268, -0.7416264326591246, 0.22912569270066396, -0.2726993059103242, 0.5355160686614915, -0.902931727160895, -0.7803637637643119, 0.36804643024725525, 0.029307394167312983, 0.1432827432294983, 0.6874139879813108, -0.024524721700651453, 0.6202888442522898, 0.020487258589880097, 0.8534413864805024, 0.333855543079252, -0.7025463211318861, -0.27089364934848836, 0.7315498318881986, -0.29942957828896866, -0.6219484810876903, -0.0547573816684539, -0.21443765035574014, 0.23785985328818726, -0.12646741612097356, -0.47815568541100895, -0.17505557667448635, -0.16193193089539926, 0.8048437117522818, 0.9592325240809707, 0.24713767881382775, -0.8336317548582777, 0.46599743519199, 0.357370804957968, 0.6520457340504391, -0.3050973265778887, -0.8822398116837538, 0.2236436329105842, -0.751970763373456, 0.5190590583266628, 0.5888466351532844, -0.18274642650020412, 0.8875950117660911, -0.6524404124894483, 0.8851716994539605]",ga,relu,False,False,100,[10],0.1,1000
3,1000,4.289857014961831,401405,680.0530868000351,"[26.674212855110596, -93.33794229084003, 18.64643658146423, -50.7390162066786, -26.867359767693785, -2.6461744538554655, 91.25605256895716, 73.64269257630718, 25.85883203648298, -52.331835738848895, -83.57869153420563, 6.493602720112037, -71.23689934913111, 24.807275572455126, 13.918204378939265, 40.600904337319236, -99.03898846902366, 19.017887141433818, 89.94537316128827, 14.530780835119032, -27.97313293429211, 35.43883981613604, 85.41656424677078, -12.302029468985864, -3.5081140019426442, 52.38516073212372, -5.246382968125516, -86.85836833156357, 48.5204844292812, 2.6507133962259815, -98.95597229422187, -75.06731145370685, 25.80257545977463, 6.5796995057511936, 51.80886726001418, -42.347552314845814, 68.25249569660033, -9.433776172404947, 15.242016233168854, 92.5729427522273, -16.632328644614347, 34.646364948909536, -40.39480246914569, -86.84939726338419, -81.8982344332811, 2.590970074006705, 82.50665378689789, -36.22640675314539, 36.707494333842874, 31.07482823785847, 90.23974373592023, -35.46300617502976, 27.389569283326097, -21.40196614648471, -59.37827816263774, 44.83004855284301, 53.02417800043594, -60.40503159162558, 13.009436625249293, 48.15499702264282, 65.23678486746263, -87.60988690508222, -63.30534850619818, 39.47788057066367, 50.49767616278925, -45.80908241572095, -81.2733249280561, 46.274918639372686, -66.24006633048683, 16.941202231312772, 67.29360389903684, -41.63927077747989, -83.31830431639688, 90.78919065442219, 28.435989543954378, 3.176327564715109, -12.240174768872492, 79.34598808802244, 28.434189619570702, 39.132944505429464, -10.238688788185527, -35.18931927140996, 41.57613061605085, 37.36529074552183, -86.15909870607025, -11.86100945809389, 11.705511820268228, 56.534810364908054, 19.025661273683014, 94.35066410494241, -63.4981169627902, -35.0384157849835, 62.672547924461384, 63.073020732906, -19.541240503330215, 59.69955342409003, 77.02542549305497, -91.73401350219558, -79.80312215674141, -60.26962658843917, -35.911498061656474, -26.21032548121096, 50.872103948351054, -78.20706442374743, -57.544414356476615, -32.6832822772278, -76.95008399139178, 80.47213679851873, 64.38243388593287, -61.06754797713347, -81.87054218708445, -34.474140741803325, 17.93263080428514, -49.00745321699542, 14.272639684551208, -63.877273921502194, -7.397743548405103, -44.07592021430051, -6.00796343285252, -48.322945919536295]",1000,400,0.6,"[0.9340596780273533, 0.09446449835144466, 0.9453687199297687, 0.4296319873487293, 0.3954576491945416, -0.5678210088392472, 0.9525489095524835, -0.9875394895908203, -0.4940352752331121, -0.13041693519110842, 0.5587658435875049, -0.6046298507994938, 0.7259864711984445, 0.9668013543506255, -0.6723155171906026, 0.19466788786571843, -0.98202780466489, -0.22685743471274122, -0.9116798841370009, 0.9133059354284718, -0.1277067062404047, 0.8979546135631256, 0.5726119718701219, 0.7325785971633969, -0.6536691570081037, -0.850102825973786, 0.2014854427555386, -0.6640556325631923, 0.4667603350211398, -0.18311227969597055, 0.05581764683584067, 0.875143167901884, 0.043392244889916, -0.7836132342255386, -0.6835531856304011, 0.09040530340642561, 0.04880816013694678, 0.2752204882519873, -0.1970091128194542, 0.2996102180386846, -0.20619999419653467, 0.24783222709644614, 0.5348099341802477, -0.6420521799177383, -0.24884846282491524, 0.005066118653868745, 0.3733341598326916, -0.4926407026772337, 0.10948172588511706, 0.24986168812819542, 0.7910023321122921, -0.27429282313374714, 0.2751141460374733, -0.6171071957620733, -0.004411770765388567, -0.6351091908575863, 0.8367660782795254, -0.13635585731754474, 0.6603762041966925, -0.16644739064327485, 0.8093351774867339, -0.19034956537818792, -0.33765099381775454, 0.14427754054549724, 0.6908872981882266, 0.7220286235061439, 0.19137623413666893, -0.8306767779591795, 0.19453321463834983, -0.5090925828337958, 0.46518689717993555, 0.7893025846334776, 0.0294679418262902, 0.20712702072041278, -0.8698643752343853, 0.08014945928561268, -0.7416264326591246, 0.22912569270066396, -0.2726993059103242, 0.5355160686614915, -0.902931727160895, -0.7803637637643119, 0.36804643024725525, 0.029307394167312983, 0.1432827432294983, 0.6874139879813108, -0.024524721700651453, 0.6202888442522898, 0.020487258589880097, 0.8534413864805024, 0.333855543079252, -0.7025463211318861, -0.27089364934848836, 0.7315498318881986, -0.29942957828896866, -0.6219484810876903, -0.0547573816684539, -0.21443765035574014, 0.23785985328818726, -0.12646741612097356, -0.47815568541100895, -0.17505557667448635, -0.16193193089539926, 0.8048437117522818, 0.9592325240809707, 0.24713767881382775, -0.8336317548582777, 0.46599743519199, 0.357370804957968, 0.6520457340504391, -0.3050973265778887, -0.8822398116837538, 0.2236436329105842, -0.751970763373456, 0.5190590583266628, 0.5888466351532844, -0.18274642650020412, 0.8875950117660911, -0.6524404124894483, 0.8851716994539605]",ga,relu,False,False,100,[10],0.1,1000
