,Iteration,Fitness,FEvals,Time,State,max_iters,pop_size,mutation_prob,init_state,algorithm,activation,bias,early_stopping,clip_max,hidden_layer_sizes,learning_rate_init,max_attempts
0,0,18.84643282315575,201,0.28800880000926554,"[93.40596780273535, 9.446449835144463, 94.53687199297687, 42.96319873487292, 39.54576491945417, -56.78210088392473, 95.25489095524836, -98.75394895908202, -49.40352752331121, -13.041693519110837, 55.876584358750506, -60.462985079949384, 72.59864711984446, 96.68013543506254, -67.23155171906026, 19.46678878657184, -98.202780466489, -22.685743471274122, -91.16798841370009, 91.33059354284717, -12.770670624040463, 89.79546135631256, 57.261197187012186, 73.25785971633968, -65.36691570081037, -85.01028259737859, 20.14854427555386, -66.40556325631923, 46.67603350211397, -18.311227969597056, 5.581764683584069, 87.51431679018839, 4.339224488991604, -78.36132342255387, -68.35531856304011, 9.040530340642562, 4.880816013694684, 27.522048825198738, -19.700911281945423, 29.961021803868448, -20.619999419653467, 24.78322270964462, 53.48099341802478, -64.20521799177384, -24.884846282491523, 0.5066118653868728, 37.33341598326916, -49.26407026772337, 10.94817258851171, 24.986168812819542, 79.10023321122921, -27.429282313374713, 27.511414603747326, -61.71071957620733, -0.44117707653884963, -63.51091908575863, 83.67660782795255, -13.635585731754475, 66.03762041966925, -16.64473906432748, 80.93351774867338, -19.034956537818786, -33.76509938177546, 14.427754054549723, 69.08872981882266, 72.2028623506144, 19.137623413666887, -83.06767779591794, 19.453321463834982, -50.90925828337958, 46.51868971799357, 78.93025846334777, 2.94679418262902, 20.71270207204128, -86.98643752343852, 8.014945928561275, -74.16264326591246, 22.9125692700664, -27.26993059103242, 53.55160686614914, -90.2931727160895, -78.03637637643119, 36.80464302472552, 2.9307394167312992, 14.328274322949824, 68.74139879813109, -2.4524721700651497, 62.028884425228966, 2.048725858988007, 85.34413864805023, 33.38555430792519, -70.2546321131886, -27.08936493484883, 73.15498318881987, -29.942957828896866, -62.19484810876903, -5.475738166845389, -21.443765035574017, 23.785985328818725, -12.646741612097358, -47.815568541100895, -17.50555766744864, -16.193193089539932, 80.48437117522818, 95.92325240809708, 24.71376788138278, -83.36317548582777, 46.599743519198995, 35.73708049579679, 65.2045734050439, -30.509732657788874, -88.22398116837537, 22.364363291058424, -75.1970763373456, 51.905905832666264, 58.88466351532844, -18.27464265002041, 88.75950117660912, -65.24404124894482, 88.51716994539603]",1000,200,0.4,"[0.9340596780273533, 0.09446449835144466, 0.9453687199297687, 0.4296319873487293, 0.3954576491945416, -0.5678210088392472, 0.9525489095524835, -0.9875394895908203, -0.4940352752331121, -0.13041693519110842, 0.5587658435875049, -0.6046298507994938, 0.7259864711984445, 0.9668013543506255, -0.6723155171906026, 0.19466788786571843, -0.98202780466489, -0.22685743471274122, -0.9116798841370009, 0.9133059354284718, -0.1277067062404047, 0.8979546135631256, 0.5726119718701219, 0.7325785971633969, -0.6536691570081037, -0.850102825973786, 0.2014854427555386, -0.6640556325631923, 0.4667603350211398, -0.18311227969597055, 0.05581764683584067, 0.875143167901884, 0.043392244889916, -0.7836132342255386, -0.6835531856304011, 0.09040530340642561, 0.04880816013694678, 0.2752204882519873, -0.1970091128194542, 0.2996102180386846, -0.20619999419653467, 0.24783222709644614, 0.5348099341802477, -0.6420521799177383, -0.24884846282491524, 0.005066118653868745, 0.3733341598326916, -0.4926407026772337, 0.10948172588511706, 0.24986168812819542, 0.7910023321122921, -0.27429282313374714, 0.2751141460374733, -0.6171071957620733, -0.004411770765388567, -0.6351091908575863, 0.8367660782795254, -0.13635585731754474, 0.6603762041966925, -0.16644739064327485, 0.8093351774867339, -0.19034956537818792, -0.33765099381775454, 0.14427754054549724, 0.6908872981882266, 0.7220286235061439, 0.19137623413666893, -0.8306767779591795, 0.19453321463834983, -0.5090925828337958, 0.46518689717993555, 0.7893025846334776, 0.0294679418262902, 0.20712702072041278, -0.8698643752343853, 0.08014945928561268, -0.7416264326591246, 0.22912569270066396, -0.2726993059103242, 0.5355160686614915, -0.902931727160895, -0.7803637637643119, 0.36804643024725525, 0.029307394167312983, 0.1432827432294983, 0.6874139879813108, -0.024524721700651453, 0.6202888442522898, 0.020487258589880097, 0.8534413864805024, 0.333855543079252, -0.7025463211318861, -0.27089364934848836, 0.7315498318881986, -0.29942957828896866, -0.6219484810876903, -0.0547573816684539, -0.21443765035574014, 0.23785985328818726, -0.12646741612097356, -0.47815568541100895, -0.17505557667448635, -0.16193193089539926, 0.8048437117522818, 0.9592325240809707, 0.24713767881382775, -0.8336317548582777, 0.46599743519199, 0.357370804957968, 0.6520457340504391, -0.3050973265778887, -0.8822398116837538, 0.2236436329105842, -0.751970763373456, 0.5190590583266628, 0.5888466351532844, -0.18274642650020412, 0.8875950117660911, -0.6524404124894483, 0.8851716994539605]",ga,relu,False,False,100,[10],0.1,1000
1,100,4.549778874538404,20304,36.76873929996509,"[60.80344563802228, -76.46258459210173, -9.24176034937662, -47.386689452363214, 62.810876516015185, 30.033350034064114, 13.797749288841857, -10.038139534919011, 5.007411288678696, 18.653212496586875, -0.39621597745261283, 94.01742156786224, -12.738572288152966, -58.92463327898727, -94.05868575219634, 57.59079577804465, 62.016142247134724, 92.33339129138392, 1.8463906504895107, -16.411087435839818, -65.64544221597089, 40.00296882577226, 5.985387543501332, -45.59019726801083, -21.04440168906045, 61.43728714996527, -87.12764481984118, -70.98496943794555, -99.31081242789304, -57.63765749944491, 96.07435163706813, 36.78207767628106, -31.46946736554672, -51.995635804743486, 30.470067296345547, 36.724608593649464, 32.08349849320186, 36.84061307473527, 83.83465663657512, 52.7439976025091, -95.12188386584397, 89.95867506630017, 88.33921410120027, 28.75525726624761, -71.54559172183653, -40.304185378630166, -36.78005276567149, -33.18356196682721, 59.73643269494184, -78.29551995914694, -75.98051487552056, -74.61829292827528, 80.93560585392004, -62.623925329012664, -46.47449982988776, -73.88956140437395, 69.78186213066283, -24.2843188339354, 49.80949385205719, -0.026803372647236756, 81.8341516682411, -53.74331675103321, 19.809487257651, -25.67116839407244, 94.71729395268576, 92.69463872472335, -26.41314853020991, -3.758505131267981, 71.57170426253509, 73.47851551656021, -30.376214115386162, 68.3222733487022, -9.327172125145239, -4.308579308428222, 17.39187355114771, 95.17723090607655, -26.18213878588196, 28.69116571587179, 31.91275492108599, -13.68070192778113, -74.3319158521474, -86.70314938288426, -98.23598647859602, 12.685503684254627, -78.87886842190474, -84.19804750297253, 83.60568586458649, -68.85390925054757, -35.07453243344152, -65.86898970377396, 95.0662626097807, -4.8152383739850535, -48.02176048186946, -75.093811587398, -55.71923889902415, 33.888680628104964, -38.57321340284865, 9.627041420176411, -87.30982955408008, -21.892339454377847, -77.26230618901783, -6.4751962567982275, -82.24943799338867, -93.54676048084644, -69.02150148644486, -46.59105031456703, 1.6441205728528558, 14.373175008461843, 3.383251623928871, -47.223705039402944, -83.45264070280544, 6.394798713692396, -88.73362991838644, -33.22913484446049, 6.946519527211947, -51.995752699954735, -73.83520151111378, -72.2772650663791, -67.44557126346322, -51.61238052015933]",1000,200,0.4,"[0.9340596780273533, 0.09446449835144466, 0.9453687199297687, 0.4296319873487293, 0.3954576491945416, -0.5678210088392472, 0.9525489095524835, -0.9875394895908203, -0.4940352752331121, -0.13041693519110842, 0.5587658435875049, -0.6046298507994938, 0.7259864711984445, 0.9668013543506255, -0.6723155171906026, 0.19466788786571843, -0.98202780466489, -0.22685743471274122, -0.9116798841370009, 0.9133059354284718, -0.1277067062404047, 0.8979546135631256, 0.5726119718701219, 0.7325785971633969, -0.6536691570081037, -0.850102825973786, 0.2014854427555386, -0.6640556325631923, 0.4667603350211398, -0.18311227969597055, 0.05581764683584067, 0.875143167901884, 0.043392244889916, -0.7836132342255386, -0.6835531856304011, 0.09040530340642561, 0.04880816013694678, 0.2752204882519873, -0.1970091128194542, 0.2996102180386846, -0.20619999419653467, 0.24783222709644614, 0.5348099341802477, -0.6420521799177383, -0.24884846282491524, 0.005066118653868745, 0.3733341598326916, -0.4926407026772337, 0.10948172588511706, 0.24986168812819542, 0.7910023321122921, -0.27429282313374714, 0.2751141460374733, -0.6171071957620733, -0.004411770765388567, -0.6351091908575863, 0.8367660782795254, -0.13635585731754474, 0.6603762041966925, -0.16644739064327485, 0.8093351774867339, -0.19034956537818792, -0.33765099381775454, 0.14427754054549724, 0.6908872981882266, 0.7220286235061439, 0.19137623413666893, -0.8306767779591795, 0.19453321463834983, -0.5090925828337958, 0.46518689717993555, 0.7893025846334776, 0.0294679418262902, 0.20712702072041278, -0.8698643752343853, 0.08014945928561268, -0.7416264326591246, 0.22912569270066396, -0.2726993059103242, 0.5355160686614915, -0.902931727160895, -0.7803637637643119, 0.36804643024725525, 0.029307394167312983, 0.1432827432294983, 0.6874139879813108, -0.024524721700651453, 0.6202888442522898, 0.020487258589880097, 0.8534413864805024, 0.333855543079252, -0.7025463211318861, -0.27089364934848836, 0.7315498318881986, -0.29942957828896866, -0.6219484810876903, -0.0547573816684539, -0.21443765035574014, 0.23785985328818726, -0.12646741612097356, -0.47815568541100895, -0.17505557667448635, -0.16193193089539926, 0.8048437117522818, 0.9592325240809707, 0.24713767881382775, -0.8336317548582777, 0.46599743519199, 0.357370804957968, 0.6520457340504391, -0.3050973265778887, -0.8822398116837538, 0.2236436329105842, -0.751970763373456, 0.5190590583266628, 0.5888466351532844, -0.18274642650020412, 0.8875950117660911, -0.6524404124894483, 0.8851716994539605]",ga,relu,False,False,100,[10],0.1,1000
2,500,3.3892506966689737,100710,179.5233743999852,"[-62.21661619933674, -23.554658004550546, -79.1375160066984, -18.049040577325243, -47.71132117550896, -79.0150926534408, 14.125156325595782, 88.20399864428131, -33.90352361618491, 70.27015914211049, 20.565364289604176, -52.198472817733446, -24.89498185759625, -42.87729403370373, 27.555209654459063, 54.452823916283904, 91.1884586727866, 47.45243354585338, 89.63673400212912, 71.32242661706621, -87.16747105093164, -98.89888262535733, -79.88109870828657, -97.43099432125635, 43.26390702323749, -27.498115750133096, -85.95600987194219, -90.90465970249564, -42.17985432108067, -65.02522672082603, 40.65305051262317, -42.84800171101899, 49.20985517885822, -88.59539925286117, -39.35207692351086, 81.49188592891, 51.508417954205925, 70.17199546408312, -31.20363013056624, -64.27103621363462, 22.555297547827905, 57.46064242899567, 21.547151968705023, 1.1662641648054546, 99.52587673049405, 3.63742317610712, -44.85599261557811, 30.82044768320796, -32.79327046361513, 90.43629624612038, 84.87708318145789, 94.33341872342939, 7.806547300353955, 75.25664257987665, 45.980045295746095, -58.10621331528032, 55.71027984411947, 22.317826163690597, -82.5179134636343, 53.829541348620694, -89.53611000820882, -73.23558160080528, 40.11286325031199, -12.730462328023322, -9.7829174217742, -25.612398866291826, -48.32920616716609, -90.31200143550515, 45.18544922265269, 58.47943887652471, 36.88923963395118, 12.642809396641624, -70.00809199722454, -1.0887450788248856, 40.65249190368516, -97.84085642164612, 72.59114986339722, -87.4551872002797, 45.83069689018481, 37.9830767368984, -75.9261979276795, -44.685435979686105, 80.70561122805736, -70.5967333448046, -68.02574018747612, 47.74385247103737, -66.96423469855277, 83.63996827080396, -40.39042618107502, 13.617108098119132, 8.500778765470159, -59.98674078378039, -51.10555841122728, -54.07914712156172, -53.630345627013256, -25.488874782119538, -86.37469147678165, -71.60519508655017, 27.120080184079313, 5.839035550620466, -79.63691256275183, -22.336893525170723, -95.11302070852625, -65.17967195816583, -92.28629476882718, -95.78973186295579, -1.3634417440961073, -62.49960433409392, -3.9347073422144803, -76.43777249622126, -62.47309813760917, -44.9372224003038, -60.479958410017275, -50.67346180788122, -66.74627795303228, -69.04520229717839, -13.559412814552246, -48.05416213380968, -46.589667544589645, -30.275110940656873]",1000,200,0.4,"[0.9340596780273533, 0.09446449835144466, 0.9453687199297687, 0.4296319873487293, 0.3954576491945416, -0.5678210088392472, 0.9525489095524835, -0.9875394895908203, -0.4940352752331121, -0.13041693519110842, 0.5587658435875049, -0.6046298507994938, 0.7259864711984445, 0.9668013543506255, -0.6723155171906026, 0.19466788786571843, -0.98202780466489, -0.22685743471274122, -0.9116798841370009, 0.9133059354284718, -0.1277067062404047, 0.8979546135631256, 0.5726119718701219, 0.7325785971633969, -0.6536691570081037, -0.850102825973786, 0.2014854427555386, -0.6640556325631923, 0.4667603350211398, -0.18311227969597055, 0.05581764683584067, 0.875143167901884, 0.043392244889916, -0.7836132342255386, -0.6835531856304011, 0.09040530340642561, 0.04880816013694678, 0.2752204882519873, -0.1970091128194542, 0.2996102180386846, -0.20619999419653467, 0.24783222709644614, 0.5348099341802477, -0.6420521799177383, -0.24884846282491524, 0.005066118653868745, 0.3733341598326916, -0.4926407026772337, 0.10948172588511706, 0.24986168812819542, 0.7910023321122921, -0.27429282313374714, 0.2751141460374733, -0.6171071957620733, -0.004411770765388567, -0.6351091908575863, 0.8367660782795254, -0.13635585731754474, 0.6603762041966925, -0.16644739064327485, 0.8093351774867339, -0.19034956537818792, -0.33765099381775454, 0.14427754054549724, 0.6908872981882266, 0.7220286235061439, 0.19137623413666893, -0.8306767779591795, 0.19453321463834983, -0.5090925828337958, 0.46518689717993555, 0.7893025846334776, 0.0294679418262902, 0.20712702072041278, -0.8698643752343853, 0.08014945928561268, -0.7416264326591246, 0.22912569270066396, -0.2726993059103242, 0.5355160686614915, -0.902931727160895, -0.7803637637643119, 0.36804643024725525, 0.029307394167312983, 0.1432827432294983, 0.6874139879813108, -0.024524721700651453, 0.6202888442522898, 0.020487258589880097, 0.8534413864805024, 0.333855543079252, -0.7025463211318861, -0.27089364934848836, 0.7315498318881986, -0.29942957828896866, -0.6219484810876903, -0.0547573816684539, -0.21443765035574014, 0.23785985328818726, -0.12646741612097356, -0.47815568541100895, -0.17505557667448635, -0.16193193089539926, 0.8048437117522818, 0.9592325240809707, 0.24713767881382775, -0.8336317548582777, 0.46599743519199, 0.357370804957968, 0.6520457340504391, -0.3050973265778887, -0.8822398116837538, 0.2236436329105842, -0.751970763373456, 0.5190590583266628, 0.5888466351532844, -0.18274642650020412, 0.8875950117660911, -0.6524404124894483, 0.8851716994539605]",ga,relu,False,False,100,[10],0.1,1000
3,1000,3.3892506966689737,201210,352.70842080004513,"[-62.21661619933674, -23.554658004550546, -79.1375160066984, -18.049040577325243, -47.71132117550896, -79.0150926534408, 14.125156325595782, 88.20399864428131, -33.90352361618491, 70.27015914211049, 20.565364289604176, -52.198472817733446, -24.89498185759625, -42.87729403370373, 27.555209654459063, 54.452823916283904, 91.1884586727866, 47.45243354585338, 89.63673400212912, 71.32242661706621, -87.16747105093164, -98.89888262535733, -79.88109870828657, -97.43099432125635, 43.26390702323749, -27.498115750133096, -85.95600987194219, -90.90465970249564, -42.17985432108067, -65.02522672082603, 40.65305051262317, -42.84800171101899, 49.20985517885822, -88.59539925286117, -39.35207692351086, 81.49188592891, 51.508417954205925, 70.17199546408312, -31.20363013056624, -64.27103621363462, 22.555297547827905, 57.46064242899567, 21.547151968705023, 1.1662641648054546, 99.52587673049405, 3.63742317610712, -44.85599261557811, 30.82044768320796, -32.79327046361513, 90.43629624612038, 84.87708318145789, 94.33341872342939, 7.806547300353955, 75.25664257987665, 45.980045295746095, -58.10621331528032, 55.71027984411947, 22.317826163690597, -82.5179134636343, 53.829541348620694, -89.53611000820882, -73.23558160080528, 40.11286325031199, -12.730462328023322, -9.7829174217742, -25.612398866291826, -48.32920616716609, -90.31200143550515, 45.18544922265269, 58.47943887652471, 36.88923963395118, 12.642809396641624, -70.00809199722454, -1.0887450788248856, 40.65249190368516, -97.84085642164612, 72.59114986339722, -87.4551872002797, 45.83069689018481, 37.9830767368984, -75.9261979276795, -44.685435979686105, 80.70561122805736, -70.5967333448046, -68.02574018747612, 47.74385247103737, -66.96423469855277, 83.63996827080396, -40.39042618107502, 13.617108098119132, 8.500778765470159, -59.98674078378039, -51.10555841122728, -54.07914712156172, -53.630345627013256, -25.488874782119538, -86.37469147678165, -71.60519508655017, 27.120080184079313, 5.839035550620466, -79.63691256275183, -22.336893525170723, -95.11302070852625, -65.17967195816583, -92.28629476882718, -95.78973186295579, -1.3634417440961073, -62.49960433409392, -3.9347073422144803, -76.43777249622126, -62.47309813760917, -44.9372224003038, -60.479958410017275, -50.67346180788122, -66.74627795303228, -69.04520229717839, -13.559412814552246, -48.05416213380968, -46.589667544589645, -30.275110940656873]",1000,200,0.4,"[0.9340596780273533, 0.09446449835144466, 0.9453687199297687, 0.4296319873487293, 0.3954576491945416, -0.5678210088392472, 0.9525489095524835, -0.9875394895908203, -0.4940352752331121, -0.13041693519110842, 0.5587658435875049, -0.6046298507994938, 0.7259864711984445, 0.9668013543506255, -0.6723155171906026, 0.19466788786571843, -0.98202780466489, -0.22685743471274122, -0.9116798841370009, 0.9133059354284718, -0.1277067062404047, 0.8979546135631256, 0.5726119718701219, 0.7325785971633969, -0.6536691570081037, -0.850102825973786, 0.2014854427555386, -0.6640556325631923, 0.4667603350211398, -0.18311227969597055, 0.05581764683584067, 0.875143167901884, 0.043392244889916, -0.7836132342255386, -0.6835531856304011, 0.09040530340642561, 0.04880816013694678, 0.2752204882519873, -0.1970091128194542, 0.2996102180386846, -0.20619999419653467, 0.24783222709644614, 0.5348099341802477, -0.6420521799177383, -0.24884846282491524, 0.005066118653868745, 0.3733341598326916, -0.4926407026772337, 0.10948172588511706, 0.24986168812819542, 0.7910023321122921, -0.27429282313374714, 0.2751141460374733, -0.6171071957620733, -0.004411770765388567, -0.6351091908575863, 0.8367660782795254, -0.13635585731754474, 0.6603762041966925, -0.16644739064327485, 0.8093351774867339, -0.19034956537818792, -0.33765099381775454, 0.14427754054549724, 0.6908872981882266, 0.7220286235061439, 0.19137623413666893, -0.8306767779591795, 0.19453321463834983, -0.5090925828337958, 0.46518689717993555, 0.7893025846334776, 0.0294679418262902, 0.20712702072041278, -0.8698643752343853, 0.08014945928561268, -0.7416264326591246, 0.22912569270066396, -0.2726993059103242, 0.5355160686614915, -0.902931727160895, -0.7803637637643119, 0.36804643024725525, 0.029307394167312983, 0.1432827432294983, 0.6874139879813108, -0.024524721700651453, 0.6202888442522898, 0.020487258589880097, 0.8534413864805024, 0.333855543079252, -0.7025463211318861, -0.27089364934848836, 0.7315498318881986, -0.29942957828896866, -0.6219484810876903, -0.0547573816684539, -0.21443765035574014, 0.23785985328818726, -0.12646741612097356, -0.47815568541100895, -0.17505557667448635, -0.16193193089539926, 0.8048437117522818, 0.9592325240809707, 0.24713767881382775, -0.8336317548582777, 0.46599743519199, 0.357370804957968, 0.6520457340504391, -0.3050973265778887, -0.8822398116837538, 0.2236436329105842, -0.751970763373456, 0.5190590583266628, 0.5888466351532844, -0.18274642650020412, 0.8875950117660911, -0.6524404124894483, 0.8851716994539605]",ga,relu,False,False,100,[10],0.1,1000
