,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_mutation_prob,param_pop_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,166.6979275226593,3.3837111991159725,0.0012004852294921875,0.00040016179998450155,[10],0.2,100,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.2, 'pop_size': 100}",0.5,0.5093048713738368,0.5172413793103449,0.5,0.4946524064171123,0.5042397314202588,0.008032010163775066,15,0.5,0.5100487485612404,0.5319036242336819,0.5,0.49933598937583,0.5082576724341504,0.012476487701684101
1,326.7406516075134,6.623447728842235,0.0014004707336425781,0.0004900766357994065,[10],0.2,200,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.2, 'pop_size': 200}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,16,0.5,0.5,0.5,0.5,0.5,0.5,0.0
2,487.05271968841555,8.652490631229101,0.0017015457153320313,0.0006015085272420359,[10],0.2,300,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.2, 'pop_size': 300}",0.5,0.572979383324211,0.5,0.4972972972972973,0.5306595365418895,0.5201872434326795,0.029105594603764592,11,0.5,0.5366855492112211,0.5,0.508695652173913,0.5522355024347056,0.519523340763968,0.02118578499529664
3,669.8283697128296,13.529933243047534,0.0016002655029296875,0.0004899792882992587,[10],0.2,400,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.2, 'pop_size': 400}",0.49476439790575916,0.5145958766648422,0.5,0.5258445945945946,0.49732620320855614,0.5065062144747504,0.011864984365671372,13,0.5118324432576769,0.5022399512514387,0.5,0.5251367693636626,0.5108284809480028,0.5100075289641561,0.008869995365230638
4,170.32478652000427,2.335169967468192,0.0010001659393310547,1.5078914929239175e-07,[10],0.4,100,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.4, 'pop_size': 100}",0.49476439790575916,0.5291917533296844,0.5119222303741746,0.59375,0.5092691622103387,0.5277795087639914,0.034751068763660936,7,0.4986648865153538,0.528329459026383,0.5158672917417959,0.5334581053843939,0.6099874008240542,0.5372614286983961,0.03829024558991423
5,339.02095346450807,6.496028239157346,0.0014003753662109376,0.0004901544952403919,[10],0.4,200,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.4, 'pop_size': 200}",0.4973821989528796,0.5,0.4973404255319149,0.6039695945945946,0.5306595365418895,0.5258703511242557,0.04102982979087293,8,0.4986648865153538,0.5,0.49800531914893614,0.554909300316729,0.5394149896141928,0.5181988991190424,0.02415919825469689
6,514.4837221622467,10.836505782315623,0.0018004894256591797,0.0004001617431640625,[10],0.4,300,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.4, 'pop_size': 300}",0.5291836338956758,0.5,0.4920212765957447,0.515625,0.6032976827094474,0.5280255186401736,0.03975612636413798,6,0.5098297730307076,0.4973368841544607,0.5285791561485755,0.5043478260869565,0.5967923179078558,0.5273771914657112,0.03622316420445192
7,686.5056806564331,12.519248445657826,0.0022008419036865234,0.0014698405199722589,[10],0.4,400,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.4, 'pop_size': 400}",0.5,0.5013683634373289,0.5370506236243581,0.4945945945945946,0.49732620320855614,0.5060679569729676,0.01566453457463868,14,0.5,0.5069624681216005,0.5765979985575189,0.5073711488626548,0.5108284809480028,0.5203520192979554,0.028341826804343096
8,176.94256763458253,2.181857753531639,0.0018004894256591797,0.0016004085576289552,[10],0.6,100,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.6, 'pop_size': 100}",0.6324413418654256,0.5,0.4973404255319149,0.5,0.6672905525846702,0.5594144639964022,0.07467733082489128,4,0.642818202047174,0.5064772393870319,0.5058150018031013,0.5,0.6878639288997854,0.5685948744274185,0.08029866686954579
9,357.72558798789976,9.160298609690647,0.0016003131866455078,0.0008003354156912389,[10],0.6,200,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.6, 'pop_size': 200}",0.5529377545084352,0.5291917533296844,0.7147835656639765,0.5129222972972973,0.5806595365418895,0.5780989814682566,0.0720586378790009,3,0.5376613262127281,0.537289264032138,0.7122701045798774,0.49337748344370863,0.5453059556645214,0.5651808267865948,0.07579082852668353
10,526.6869414806366,11.346412979540974,0.0018002510070800782,0.00040040017593981613,[10],0.6,300,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.6, 'pop_size': 300}",0.6853790963738607,0.5172413793103449,0.5,0.5,0.5,0.5405240951368411,0.07273467274912782,5,0.6909768580329329,0.4980026631158455,0.514954471691309,0.5,0.5,0.5407867985680175,0.07534184918779972
11,675.8228616237641,9.488274274333385,0.0006000995635986328,0.0004899792418945042,[10],0.6,400,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.6, 'pop_size': 400}",0.49214659685863876,0.5504469987228607,0.538426265590609,0.5,0.5393048128342246,0.5240649348012667,0.023376981778118568,10,0.4996550956831331,0.6644079080999346,0.545776235124414,0.5,0.5522355024347056,0.5524149482684375,0.06019544270398087
12,185.59710431098938,5.045598256313764,0.001400327682495117,0.0004899987222241536,[10],0.8,100,"{'hidden_layer_sizes': [10], 'mutation_prob': 0.8, 'pop_size': 100}",0.5054295132829164,0.5676883780332056,0.5132061628760088,0.5381756756756757,0.5032976827094474,0.5255594825154508,0.024443486107433948,9,0.5276479750778816,0.6457040330406915,0.5480188424089434,0.6135041750647855,0.5390404195185072,0.5747830890221618,0.046356628633585105
