,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
37,20,5.0,39,0.03015270000000214,"[5, 2, 3, 0, 4, 7, 0, 3]",arithmetic,50,0.0001,0.001,49.99999698473,50,100,
38,50,7.0,99,0.05406940000000304,"[6, 7, 1, 5, 7, 7, 6, 2]",arithmetic,50,0.0001,0.001,49.99999459306,50,100,
39,100,6.0,199,0.08716069999999831,"[6, 1, 2, 6, 7, 2, 7, 0]",arithmetic,50,0.0001,0.001,49.99999128393,50,100,
40,0,6.0,0,0.0005404000000055476,"[2, 6, 7, 5, 1, 0, 7, 0]",exponential,50,,0.001,49.999864900182516,50,100,0.005
41,10,7.0,19,0.014640500000012935,"[2, 6, 7, 0, 1, 7, 0, 0]",exponential,50,,0.001,49.99634000896187,50,100,0.005
42,20,5.0,39,0.02962490000001594,"[5, 2, 3, 0, 4, 7, 0, 3]",exponential,50,,0.001,49.9925943234946,50,100,0.005
43,50,7.0,99,0.05372180000000526,"[6, 7, 1, 5, 7, 7, 6, 2]",exponential,50,,0.001,49.986571353608376,50,100,0.005
44,100,6.0,197,0.08505909999999517,"[5, 0, 5, 1, 6, 0, 4, 2]",exponential,50,,0.001,49.978739746265575,50,100,0.005
45,0,6.0,0,0.0004938999999808402,"[2, 6, 7, 5, 1, 0, 7, 0]",geometric,100,0.99,0.001,99.99950361514422,100,100,
46,10,6.0,20,0.015354199999990215,"[2, 6, 7, 5, 1, 2, 0, 6]",geometric,100,0.99,0.001,99.98456970391649,100,100,
47,20,8.0,40,0.03144009999999753,"[5, 1, 3, 5, 1, 7, 6, 2]",geometric,100,0.99,0.001,99.9684066353281,100,100,
48,50,7.0,100,0.05922319999999104,"[1, 7, 6, 4, 0, 4, 7, 2]",geometric,100,0.99,0.001,99.94049640538286,100,100,
49,100,6.0,199,0.09378019999999765,"[5, 0, 3, 0, 5, 5, 2, 5]",geometric,100,0.99,0.001,99.90579215284137,100,100,
50,0,6.0,0,0.0005074999999976626,"[2, 6, 7, 5, 1, 0, 7, 0]",arithmetic,100,0.0001,0.001,99.99999994925,100,100,
51,10,6.0,20,0.0171416000000022,"[2, 6, 7, 5, 1, 2, 0, 6]",arithmetic,100,0.0001,0.001,99.99999828584,100,100,
52,20,8.0,40,0.03505540000000451,"[5, 1, 3, 5, 1, 7, 6, 2]",arithmetic,100,0.0001,0.001,99.99999649446,100,100,
53,50,7.0,100,0.06282729999998082,"[1, 7, 6, 4, 0, 4, 7, 2]",arithmetic,100,0.0001,0.001,99.99999371727,100,100,
54,100,9.0,200,0.09970400000000268,"[5, 0, 3, 0, 5, 5, 3, 5]",arithmetic,100,0.0001,0.001,99.9999900296,100,100,
55,0,6.0,0,0.0005087000000116859,"[2, 6, 7, 5, 1, 0, 7, 0]",exponential,100,,0.001,99.99974565032346,100,100,0.005
56,10,6.0,20,0.018229800000000296,"[2, 6, 7, 5, 1, 2, 0, 6]",exponential,100,,0.001,99.9908855153944,100,100,0.005
57,20,8.0,40,0.04054550000000745,"[5, 1, 3, 5, 1, 7, 6, 2]",exponential,100,,0.001,99.9797293047831,100,100,0.005
58,50,7.0,100,0.14000599999999963,"[1, 7, 6, 4, 0, 4, 7, 2]",exponential,100,,0.001,99.93002149638365,100,100,0.005
59,100,9.0,200,0.1945754999999849,"[5, 0, 3, 0, 5, 5, 3, 5]",exponential,100,,0.001,99.90275955918825,100,100,0.005
