,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
31,10,13.0,2215,0.9913119999999935,"[1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 5.0, 1.0]",False,200,0.6,100
32,20,16.0,4226,1.8111948000000098,"[5.0, 4.0, 5.0, 0.0, 5.0, 5.0, 5.0, 2.0, 2.0, 5.0, 5.0, 5.0]",False,200,0.6,100
33,50,16.0,4628,1.9556441999999947,"[5.0, 4.0, 5.0, 0.0, 5.0, 5.0, 5.0, 2.0, 2.0, 5.0, 5.0, 5.0]",False,200,0.6,100
34,100,16.0,4628,1.9556441999999947,"[5.0, 4.0, 5.0, 0.0, 5.0, 5.0, 5.0, 2.0, 2.0, 5.0, 5.0, 5.0]",False,200,0.6,100
35,0,3.0,200,0.004930200000046625,"[2, 5, 1, 0, 0, 2, 1, 2, 4, 5, 1, 0]",False,200,0.8,100
36,10,13.0,2211,0.7521419000000265,"[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0]",False,200,0.8,100
37,20,13.0,2412,0.83357060000003,"[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0]",False,200,0.8,100
38,50,13.0,2412,0.83357060000003,"[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0]",False,200,0.8,100
39,100,13.0,2412,0.83357060000003,"[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0]",False,200,0.8,100
40,0,3.0,300,0.008562799999992876,"[2, 5, 1, 0, 0, 2, 1, 2, 4, 5, 1, 0]",False,300,0.2,100
41,10,18.0,3314,0.7178703999999811,"[4.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 4.0]",False,300,0.2,100
