,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
17,1000,460.9335868566107,1080,0.26855390006676316,"[49, 27, 21, 23, 44, 0, 25, 17, 41, 3, 10, 11, 16, 43, 4, 12, 8, 24, 42, 7, 13, 22, 28, 15, 6, 20, 39, 45, 48, 19, 34, 47, 33, 9, 46, 32, 31, 2, 35, 1, 14, 5, 36, 30, 18, 29, 26, 40, 38, 37]",exponential,1,,0.001,0.9986581316112582,1,1000,0.005
18,0,1100.0516346049103,0,0.00020540005061775446,"[6, 48, 11, 4, 12, 31, 7, 25, 41, 18, 22, 28, 33, 15, 16, 27, 37, 20, 24, 47, 13, 10, 19, 29, 42, 45, 26, 32, 17, 44, 34, 14, 2, 43, 35, 21, 0, 3, 38, 36, 49, 30, 39, 9, 8, 23, 40, 1, 5, 46]",geometric,10,0.99,0.001,9.999979356626378,10,1000,
19,10,1048.362977989661,17,0.021362600033171475,"[6, 48, 11, 4, 12, 31, 39, 25, 41, 18, 28, 10, 33, 15, 16, 27, 37, 24, 20, 47, 13, 22, 19, 29, 49, 45, 26, 32, 44, 17, 34, 5, 2, 43, 35, 21, 0, 3, 38, 36, 42, 30, 7, 9, 8, 23, 40, 1, 14, 46]",geometric,10,0.99,0.001,9.997853217416385,10,1000,
20,50,894.656315172462,73,0.043759900028817356,"[0, 48, 11, 4, 12, 17, 39, 25, 41, 34, 21, 10, 2, 15, 16, 27, 37, 45, 14, 47, 13, 22, 9, 38, 32, 20, 36, 44, 43, 31, 18, 5, 26, 49, 35, 28, 6, 3, 29, 33, 42, 24, 7, 19, 8, 23, 40, 1, 30, 46]",geometric,10,0.99,0.001,9.995602950063825,10,1000,
21,100,689.5969399972632,143,0.06820490001700819,"[23, 10, 11, 25, 4, 17, 39, 7, 41, 48, 0, 31, 2, 15, 16, 27, 37, 40, 14, 45, 13, 22, 5, 1, 32, 20, 46, 44, 43, 29, 18, 24, 26, 49, 35, 28, 6, 3, 21, 33, 38, 9, 42, 19, 8, 12, 34, 47, 30, 36]",geometric,10,0.99,0.001,9.99314752737191,10,1000,
22,500,524.537651865793,580,0.14825600001495332,"[28, 4, 11, 10, 44, 48, 17, 41, 16, 39, 0, 20, 2, 32, 23, 8, 21, 40, 14, 36, 13, 22, 46, 7, 15, 6, 25, 45, 1, 29, 18, 34, 49, 26, 19, 43, 31, 3, 27, 24, 42, 35, 9, 37, 38, 12, 33, 47, 30, 5]",geometric,10,0.99,0.001,9.985110869400714,10,1000,
23,1000,438.0941040008039,1098,0.2825729000614956,"[1, 44, 16, 23, 4, 41, 48, 25, 6, 20, 0, 39, 17, 11, 10, 8, 21, 40, 14, 36, 13, 22, 46, 28, 31, 32, 15, 45, 7, 29, 47, 34, 49, 26, 19, 35, 2, 3, 27, 24, 12, 43, 9, 42, 38, 37, 33, 18, 30, 5]",geometric,10,0.99,0.001,9.971640763017064,10,1000,
24,0,1100.0516346049103,0,0.00015140010509639978,"[6, 48, 11, 4, 12, 31, 7, 25, 41, 18, 22, 28, 33, 15, 16, 27, 37, 20, 24, 47, 13, 10, 19, 29, 42, 45, 26, 32, 17, 44, 34, 14, 2, 43, 35, 21, 0, 3, 38, 36, 49, 30, 39, 9, 8, 23, 40, 1, 5, 46]",arithmetic,10,0.0001,0.001,9.99999998485999,10,1000,
25,10,1048.362977989661,17,0.025355800054967403,"[6, 48, 11, 4, 12, 31, 39, 25, 41, 18, 28, 10, 33, 15, 16, 27, 37, 24, 20, 47, 13, 22, 19, 29, 49, 45, 26, 32, 44, 17, 34, 5, 2, 43, 35, 21, 0, 3, 38, 36, 42, 30, 7, 9, 8, 23, 40, 1, 14, 46]",arithmetic,10,0.0001,0.001,9.999997464419994,10,1000,
26,50,860.7347329108093,75,0.05240340007003397,"[0, 48, 11, 4, 12, 17, 39, 25, 41, 34, 21, 10, 2, 15, 16, 27, 20, 45, 14, 47, 13, 22, 9, 38, 32, 5, 36, 44, 43, 31, 18, 37, 26, 49, 35, 28, 6, 3, 29, 33, 42, 24, 7, 19, 8, 23, 40, 1, 30, 46]",arithmetic,10,0.0001,0.001,9.999994759659993,10,1000,
27,100,853.3934244955168,148,0.08139730000402778,"[23, 3, 11, 25, 4, 17, 39, 7, 41, 28, 0, 10, 16, 15, 2, 27, 20, 19, 14, 45, 13, 22, 32, 1, 9, 5, 36, 44, 43, 42, 18, 24, 26, 49, 35, 48, 6, 31, 21, 33, 38, 37, 29, 8, 34, 12, 40, 47, 30, 46]",arithmetic,10,0.0001,0.001,9.999991860269999,10,1000,
28,500,663.0320480097029,664,0.16606590000446886,"[3, 4, 25, 23, 43, 6, 0, 39, 28, 31, 20, 15, 8, 14, 7, 32, 29, 47, 49, 19, 30, 22, 36, 5, 13, 35, 1, 45, 10, 21, 11, 24, 27, 44, 41, 17, 16, 12, 33, 38, 9, 37, 34, 26, 42, 40, 48, 18, 46, 2]",arithmetic,10,0.0001,0.001,9.99998339341,10,1000,
29,1000,731.0551982269357,1294,0.31509960000403225,"[28, 13, 14, 9, 15, 39, 25, 17, 32, 46, 6, 2, 18, 1, 36, 5, 29, 30, 7, 23, 48, 20, 3, 8, 43, 35, 42, 37, 34, 33, 0, 4, 10, 16, 40, 12, 27, 24, 21, 22, 26, 38, 19, 49, 47, 11, 41, 44, 45, 31]",arithmetic,10,0.0001,0.001,9.999968490039999,10,1000,
30,0,1100.0516346049103,0,0.0001642999704927206,"[6, 48, 11, 4, 12, 31, 7, 25, 41, 18, 22, 28, 33, 15, 16, 27, 37, 20, 24, 47, 13, 10, 19, 29, 42, 45, 26, 32, 17, 44, 34, 14, 2, 43, 35, 21, 0, 3, 38, 36, 49, 30, 39, 9, 8, 23, 40, 1, 5, 46]",exponential,10,,0.001,9.999991785004848,10,1000,0.005
