,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,max_iters,schedule,init_state,algorithm,activation,bias,early_stopping,clip_max,hidden_layer_sizes,learning_rate_init,max_attempts
0,0,1.9633712406912764,2,0.002409100066870451,"[0.9340596780273533, 0.09446449835144466, 0.9453687199297687, 0.4296319873487293, 0.3954576491945416, -0.5678210088392472, 0.9525489095524835, -0.9875394895908203, -0.4940352752331121, -0.13041693519110842, 0.5587658435875049, -0.6046298507994938, 0.7259864711984445, 0.9668013543506255, -0.6723155171906026, 0.19466788786571843, -0.98202780466489, -0.22685743471274122, -0.9116798841370009, 0.9133059354284718, -0.1277067062404047, 0.8979546135631256, 0.5726119718701219, 0.7325785971633969, -0.6536691570081037, -0.850102825973786, 0.2014854427555386, -0.6640556325631923, 0.4667603350211398, -0.18311227969597055, 0.05581764683584067, 0.875143167901884, 0.043392244889916, -0.7836132342255386, -0.6835531856304011, 0.09040530340642561, 0.04880816013694678, 0.2752204882519873, -0.1970091128194542, 0.2996102180386846, -0.20619999419653467, 0.24783222709644614, 0.5348099341802477, -0.6420521799177383, -0.24884846282491524, 0.005066118653868745, 0.3733341598326916, -0.4926407026772337, 0.10948172588511706, 0.24986168812819542, 0.7910023321122921, -0.27429282313374714, 0.2751141460374733, -0.6171071957620733, -0.004411770765388567, -0.6351091908575863, 0.8367660782795254, -0.13635585731754474, 0.6603762041966925, -0.16644739064327485, 0.8093351774867339, -0.19034956537818792, -0.33765099381775454, 0.14427754054549724, 0.6908872981882266, 0.7220286235061439, 0.19137623413666893, -0.8306767779591795, 0.19453321463834983, -0.5090925828337958, 0.46518689717993555, 0.7893025846334776, 0.0294679418262902, 0.20712702072041278, -0.8698643752343853, 0.08014945928561268, -0.7416264326591246, 0.22912569270066396, -0.2726993059103242, 0.5355160686614915, -0.902931727160895, -0.7803637637643119, 0.36804643024725525, 0.029307394167312983, 0.1432827432294983, 0.6874139879813108, -0.024524721700651453, 0.6202888442522898, 0.020487258589880097, 0.8534413864805024, 0.333855543079252, -0.7025463211318861, -0.27089364934848836, 0.7315498318881986, -0.29942957828896866, -0.6219484810876903, -0.0547573816684539, -0.21443765035574014, 0.23785985328818726, -0.12646741612097356, -0.47815568541100895, -0.17505557667448635, -0.16193193089539926, 0.8048437117522818, 0.9592325240809707, 0.24713767881382775, -0.8336317548582777, 0.46599743519199, 0.357370804957968, 0.6520457340504391, -0.3050973265778887, -0.8822398116837538, 0.2236436329105842, -0.751970763373456, 0.5190590583266628, 0.5888466351532844, -0.18274642650020412, 0.8875950117660911, -0.6524404124894483, 0.8851716994539605]",exponential,1.0,0.005,0.001,0.9999879545722123,1000,1.0,"[0.9340596780273533, 0.09446449835144466, 0.9453687199297687, 0.4296319873487293, 0.3954576491945416, -0.5678210088392472, 0.9525489095524835, -0.9875394895908203, -0.4940352752331121, -0.13041693519110842, 0.5587658435875049, -0.6046298507994938, 0.7259864711984445, 0.9668013543506255, -0.6723155171906026, 0.19466788786571843, -0.98202780466489, -0.22685743471274122, -0.9116798841370009, 0.9133059354284718, -0.1277067062404047, 0.8979546135631256, 0.5726119718701219, 0.7325785971633969, -0.6536691570081037, -0.850102825973786, 0.2014854427555386, -0.6640556325631923, 0.4667603350211398, -0.18311227969597055, 0.05581764683584067, 0.875143167901884, 0.043392244889916, -0.7836132342255386, -0.6835531856304011, 0.09040530340642561, 0.04880816013694678, 0.2752204882519873, -0.1970091128194542, 0.2996102180386846, -0.20619999419653467, 0.24783222709644614, 0.5348099341802477, -0.6420521799177383, -0.24884846282491524, 0.005066118653868745, 0.3733341598326916, -0.4926407026772337, 0.10948172588511706, 0.24986168812819542, 0.7910023321122921, -0.27429282313374714, 0.2751141460374733, -0.6171071957620733, -0.004411770765388567, -0.6351091908575863, 0.8367660782795254, -0.13635585731754474, 0.6603762041966925, -0.16644739064327485, 0.8093351774867339, -0.19034956537818792, -0.33765099381775454, 0.14427754054549724, 0.6908872981882266, 0.7220286235061439, 0.19137623413666893, -0.8306767779591795, 0.19453321463834983, -0.5090925828337958, 0.46518689717993555, 0.7893025846334776, 0.0294679418262902, 0.20712702072041278, -0.8698643752343853, 0.08014945928561268, -0.7416264326591246, 0.22912569270066396, -0.2726993059103242, 0.5355160686614915, -0.902931727160895, -0.7803637637643119, 0.36804643024725525, 0.029307394167312983, 0.1432827432294983, 0.6874139879813108, -0.024524721700651453, 0.6202888442522898, 0.020487258589880097, 0.8534413864805024, 0.333855543079252, -0.7025463211318861, -0.27089364934848836, 0.7315498318881986, -0.29942957828896866, -0.6219484810876903, -0.0547573816684539, -0.21443765035574014, 0.23785985328818726, -0.12646741612097356, -0.47815568541100895, -0.17505557667448635, -0.16193193089539926, 0.8048437117522818, 0.9592325240809707, 0.24713767881382775, -0.8336317548582777, 0.46599743519199, 0.357370804957968, 0.6520457340504391, -0.3050973265778887, -0.8822398116837538, 0.2236436329105842, -0.751970763373456, 0.5190590583266628, 0.5888466351532844, -0.18274642650020412, 0.8875950117660911, -0.6524404124894483, 0.8851716994539605]",sa,relu,False,False,100,[10],0.1,1000
1,100,1.8813878655488405,201,0.19110870000440627,"[1.0340596780273534, 0.09446449835144466, 0.9453687199297687, 0.32963198734872934, 0.19545764919454164, -0.46782100883924727, 0.9525489095524835, -0.5875394895908204, -0.3940352752331121, -0.23041693519110842, 0.6587658435875049, -0.6046298507994938, 0.7259864711984445, 0.9668013543506255, -0.6723155171906026, 0.2946678878657184, -0.98202780466489, -0.12685743471274122, -0.9116798841370009, 0.9133059354284718, -0.3277067062404047, 0.7979546135631256, 0.5726119718701219, 0.7325785971633969, -0.6536691570081037, -0.850102825973786, 0.2014854427555386, -0.6640556325631923, 0.4667603350211398, -0.18311227969597055, 0.15581764683584068, 0.875143167901884, 0.043392244889916, -0.7836132342255386, -0.6835531856304011, -0.009594696593574398, 0.14880816013694678, 0.2752204882519873, -0.09700911281945421, 0.1996102180386846, -0.006199994196534664, 0.24783222709644614, 0.6348099341802477, -0.7420521799177383, -0.3488484628249152, 0.005066118653868745, 0.3733341598326916, -0.4926407026772337, 0.10948172588511706, 0.3498616881281954, 0.991002332112292, -0.5742928231337471, 0.2751141460374733, -0.6171071957620733, 0.09558822923461144, -0.5351091908575863, 0.7367660782795254, -0.13635585731754474, 0.6603762041966925, -0.26644739064327483, 0.8093351774867339, -0.2903495653781879, -0.5376509938177545, 0.14427754054549724, 0.8908872981882265, 0.7220286235061439, 0.09137623413666893, -0.8306767779591795, 0.09453321463834982, -0.4090925828337958, 0.46518689717993555, 0.7893025846334776, 0.0294679418262902, 0.10712702072041277, -1.0698643752343853, 0.08014945928561268, -0.7416264326591246, 0.12912569270066396, -0.2726993059103242, 0.7355160686614914, -0.902931727160895, -0.680363763764312, 0.46804643024725523, 0.029307394167312983, 0.1432827432294983, 0.6874139879813108, -0.024524721700651453, 0.5202888442522898, 0.020487258589880097, 0.8534413864805024, 0.433855543079252, -0.7025463211318861, -0.27089364934848836, 0.6315498318881986, -0.29942957828896866, -0.6219484810876903, -0.0547573816684539, -0.21443765035574014, 0.23785985328818726, -0.22646741612097357, -0.37815568541100897, -0.17505557667448635, -0.16193193089539923, 0.8048437117522818, 1.259232524080971, 0.24713767881382775, -0.8336317548582777, 0.36599743519199, 0.357370804957968, 0.35204573405043915, -0.3050973265778887, -0.7822398116837538, 0.5236436329105841, -0.751970763373456, 0.4190590583266628, 0.6888466351532844, -0.2827464265002041, 0.7875950117660911, -0.7524404124894483, 0.7851716994539605]",exponential,1.0,0.005,0.001,0.9990449128862909,1000,1.0,"[0.9340596780273533, 0.09446449835144466, 0.9453687199297687, 0.4296319873487293, 0.3954576491945416, -0.5678210088392472, 0.9525489095524835, -0.9875394895908203, -0.4940352752331121, -0.13041693519110842, 0.5587658435875049, -0.6046298507994938, 0.7259864711984445, 0.9668013543506255, -0.6723155171906026, 0.19466788786571843, -0.98202780466489, -0.22685743471274122, -0.9116798841370009, 0.9133059354284718, -0.1277067062404047, 0.8979546135631256, 0.5726119718701219, 0.7325785971633969, -0.6536691570081037, -0.850102825973786, 0.2014854427555386, -0.6640556325631923, 0.4667603350211398, -0.18311227969597055, 0.05581764683584067, 0.875143167901884, 0.043392244889916, -0.7836132342255386, -0.6835531856304011, 0.09040530340642561, 0.04880816013694678, 0.2752204882519873, -0.1970091128194542, 0.2996102180386846, -0.20619999419653467, 0.24783222709644614, 0.5348099341802477, -0.6420521799177383, -0.24884846282491524, 0.005066118653868745, 0.3733341598326916, -0.4926407026772337, 0.10948172588511706, 0.24986168812819542, 0.7910023321122921, -0.27429282313374714, 0.2751141460374733, -0.6171071957620733, -0.004411770765388567, -0.6351091908575863, 0.8367660782795254, -0.13635585731754474, 0.6603762041966925, -0.16644739064327485, 0.8093351774867339, -0.19034956537818792, -0.33765099381775454, 0.14427754054549724, 0.6908872981882266, 0.7220286235061439, 0.19137623413666893, -0.8306767779591795, 0.19453321463834983, -0.5090925828337958, 0.46518689717993555, 0.7893025846334776, 0.0294679418262902, 0.20712702072041278, -0.8698643752343853, 0.08014945928561268, -0.7416264326591246, 0.22912569270066396, -0.2726993059103242, 0.5355160686614915, -0.902931727160895, -0.7803637637643119, 0.36804643024725525, 0.029307394167312983, 0.1432827432294983, 0.6874139879813108, -0.024524721700651453, 0.6202888442522898, 0.020487258589880097, 0.8534413864805024, 0.333855543079252, -0.7025463211318861, -0.27089364934848836, 0.7315498318881986, -0.29942957828896866, -0.6219484810876903, -0.0547573816684539, -0.21443765035574014, 0.23785985328818726, -0.12646741612097356, -0.47815568541100895, -0.17505557667448635, -0.16193193089539926, 0.8048437117522818, 0.9592325240809707, 0.24713767881382775, -0.8336317548582777, 0.46599743519199, 0.357370804957968, 0.6520457340504391, -0.3050973265778887, -0.8822398116837538, 0.2236436329105842, -0.751970763373456, 0.5190590583266628, 0.5888466351532844, -0.18274642650020412, 0.8875950117660911, -0.6524404124894483, 0.8851716994539605]",sa,relu,False,False,100,[10],0.1,1000
2,500,2.521062146787312,991,0.9921385000925511,"[1.1340596780273535, -0.10553550164855535, 0.9453687199297688, 0.32963198734872934, 0.29545764919454165, -0.1678210088392473, 1.1525489095524837, -0.28753948959082043, -0.4940352752331121, -0.5304169351911084, 0.6587658435875049, -0.5046298507994939, 0.7259864711984445, 0.6668013543506256, -0.6723155171906026, 0.2946678878657184, -0.6820278046648901, -0.22685743471274122, -1.3116798841370012, 0.813305935428472, -0.1277067062404047, 0.7979546135631256, 0.5726119718701219, 0.6325785971633969, -0.7536691570081037, -1.050102825973786, 0.6014854427555385, -0.7640556325631923, 0.3667603350211398, -0.18311227969597052, 0.05581764683584067, 0.775143167901884, -0.05660775511008401, -0.3836132342255387, -0.8835531856304011, -0.009594696593574398, -0.05119183986305323, -0.02477951174801271, -0.09700911281945421, 0.2996102180386846, -0.30619999419653465, 0.3478322270964461, 0.5348099341802477, -0.9420521799177383, -0.6488484628249152, 0.10506611865386875, 0.5733341598326915, -0.5926407026772337, -0.09051827411488295, 0.4498616881281954, 1.0910023321122921, -0.674292823133747, 0.1751141460374733, -0.7171071957620733, -0.004411770765388567, -0.5351091908575863, 0.7367660782795254, -0.33635585731754475, 0.6603762041966925, -0.3664473906432748, 0.7093351774867339, -0.49034956537818786, -0.9376509938177544, 0.044277540545497235, 0.7908872981882266, 0.622028623506144, 0.19137623413666893, -0.8306767779591795, 0.1945332146383498, -0.3090925828337958, 0.46518689717993555, 0.9893025846334776, -0.1705320581737098, -0.19287297927958724, -0.6698643752343854, -0.019850540714387327, -0.7416264326591246, -0.370874307299336, -0.3726993059103242, 0.6355160686614915, -0.802931727160895, -0.9803637637643119, 0.7680464302472552, 0.029307394167312983, 0.043282743229498294, 0.7874139879813108, -0.024524721700651453, 0.5202888442522898, 0.1204872585898801, 0.9534413864805024, 0.433855543079252, -0.3025463211318862, -0.37089364934848834, 0.7315498318881986, -0.09942957828896865, -0.5219484810876903, 0.14524261833154611, 0.08556234964425988, 0.13785985328818726, -0.3264674161209736, -0.47815568541100895, -0.07505557667448634, -0.16193193089539923, 0.9048437117522817, 1.5592325240809712, 0.14713767881382775, -0.8336317548582777, 0.16599743519199003, 0.357370804957968, 0.7520457340504391, -0.10509732657788867, -0.5822398116837538, 0.5236436329105841, -0.5519707633734561, 0.6190590583266627, 0.7888466351532843, -0.48274642650020405, 1.087595011766091, -0.7524404124894483, 1.0851716994539604]",exponential,1.0,0.005,0.001,0.9950515914139445,1000,1.0,"[0.9340596780273533, 0.09446449835144466, 0.9453687199297687, 0.4296319873487293, 0.3954576491945416, -0.5678210088392472, 0.9525489095524835, -0.9875394895908203, -0.4940352752331121, -0.13041693519110842, 0.5587658435875049, -0.6046298507994938, 0.7259864711984445, 0.9668013543506255, -0.6723155171906026, 0.19466788786571843, -0.98202780466489, -0.22685743471274122, -0.9116798841370009, 0.9133059354284718, -0.1277067062404047, 0.8979546135631256, 0.5726119718701219, 0.7325785971633969, -0.6536691570081037, -0.850102825973786, 0.2014854427555386, -0.6640556325631923, 0.4667603350211398, -0.18311227969597055, 0.05581764683584067, 0.875143167901884, 0.043392244889916, -0.7836132342255386, -0.6835531856304011, 0.09040530340642561, 0.04880816013694678, 0.2752204882519873, -0.1970091128194542, 0.2996102180386846, -0.20619999419653467, 0.24783222709644614, 0.5348099341802477, -0.6420521799177383, -0.24884846282491524, 0.005066118653868745, 0.3733341598326916, -0.4926407026772337, 0.10948172588511706, 0.24986168812819542, 0.7910023321122921, -0.27429282313374714, 0.2751141460374733, -0.6171071957620733, -0.004411770765388567, -0.6351091908575863, 0.8367660782795254, -0.13635585731754474, 0.6603762041966925, -0.16644739064327485, 0.8093351774867339, -0.19034956537818792, -0.33765099381775454, 0.14427754054549724, 0.6908872981882266, 0.7220286235061439, 0.19137623413666893, -0.8306767779591795, 0.19453321463834983, -0.5090925828337958, 0.46518689717993555, 0.7893025846334776, 0.0294679418262902, 0.20712702072041278, -0.8698643752343853, 0.08014945928561268, -0.7416264326591246, 0.22912569270066396, -0.2726993059103242, 0.5355160686614915, -0.902931727160895, -0.7803637637643119, 0.36804643024725525, 0.029307394167312983, 0.1432827432294983, 0.6874139879813108, -0.024524721700651453, 0.6202888442522898, 0.020487258589880097, 0.8534413864805024, 0.333855543079252, -0.7025463211318861, -0.27089364934848836, 0.7315498318881986, -0.29942957828896866, -0.6219484810876903, -0.0547573816684539, -0.21443765035574014, 0.23785985328818726, -0.12646741612097356, -0.47815568541100895, -0.17505557667448635, -0.16193193089539926, 0.8048437117522818, 0.9592325240809707, 0.24713767881382775, -0.8336317548582777, 0.46599743519199, 0.357370804957968, 0.6520457340504391, -0.3050973265778887, -0.8822398116837538, 0.2236436329105842, -0.751970763373456, 0.5190590583266628, 0.5888466351532844, -0.18274642650020412, 0.8875950117660911, -0.6524404124894483, 0.8851716994539605]",sa,relu,False,False,100,[10],0.1,1000
3,1000,1.3789763803263202,1928,1.9864708000095561,"[1.0340596780273534, -0.0055355016485553465, 1.0453687199297688, 0.4296319873487293, 0.4954576491945416, -0.0678210088392473, 1.1525489095524837, 0.3124605104091796, -0.4940352752331121, -0.5304169351911084, 0.45876584358750494, -0.5046298507994939, 0.2259864711984446, 0.8668013543506256, -0.7723155171906025, 0.1946678878657184, -0.6820278046648901, -0.22685743471274122, -1.5116798841370014, 0.41330593542847205, -0.3277067062404047, 0.5979546135631256, 0.5726119718701219, 0.7325785971633969, -0.8536691570081036, -0.850102825973786, 0.10148544275553856, -0.5640556325631924, 0.06676033502113982, 0.3168877203040295, -0.24418235316415934, 0.675143167901884, 0.043392244889916, -0.5836132342255387, -0.8835531856304011, 0.1904053034064256, 0.14880816013694678, -0.12477951174801272, 0.10299088718054583, 0.3996102180386846, -0.30619999419653465, 0.3478322270964461, 0.4348099341802477, -0.9420521799177383, -0.4488484628249152, 0.10506611865386875, 0.47333415983269156, -0.6926407026772337, -0.5905182741148829, 0.4498616881281954, 0.8910023321122922, -0.874292823133747, 0.3751141460374733, -0.5171071957620733, -0.3044117707653886, -0.43510919085758637, 0.7367660782795254, -0.4363558573175448, 0.7603762041966925, -0.16644739064327482, 0.6093351774867339, -0.3903495653781879, -0.8376509938177544, 0.14427754054549724, 1.1908872981882266, 0.522028623506144, -0.008623765863331079, -0.9306767779591795, 0.3945332146383498, -0.2090925828337958, 0.46518689717993555, 1.0893025846334776, -0.3705320581737098, -0.3928729792795872, -0.6698643752343854, 0.08014945928561268, -1.1416264326591248, -0.470874307299336, -0.47269930591032416, 0.6355160686614915, -0.802931727160895, -0.9803637637643119, 0.9680464302472551, -0.17069260583268706, 0.3432827432294983, 0.7874139879813108, 0.17547527829934856, 0.3202888442522899, 0.2204872585898801, 0.7534413864805024, 0.433855543079252, -0.002546321131886159, -0.4708936493484883, 0.9315498318881986, -0.19942957828896865, -0.12194848108769035, 0.04524261833154611, 0.08556234964425988, -0.16214014671181276, -0.12646741612097356, -0.37815568541100897, 0.12494442332551367, -0.6619319308953991, 0.8048437117522818, 1.5592325240809712, -0.05286232118617226, -0.8336317548582777, 0.06599743519199003, 0.15737080495796804, 0.6520457340504391, -0.3050973265778887, -0.38223981168375387, 0.22364363291058417, -0.3519707633734561, 0.4190590583266628, 0.4888466351532844, -0.48274642650020405, 0.7875950117660911, -0.5524404124894483, 1.1851716994539605]",exponential,1.0,0.005,0.001,0.9901168089254504,1000,1.0,"[0.9340596780273533, 0.09446449835144466, 0.9453687199297687, 0.4296319873487293, 0.3954576491945416, -0.5678210088392472, 0.9525489095524835, -0.9875394895908203, -0.4940352752331121, -0.13041693519110842, 0.5587658435875049, -0.6046298507994938, 0.7259864711984445, 0.9668013543506255, -0.6723155171906026, 0.19466788786571843, -0.98202780466489, -0.22685743471274122, -0.9116798841370009, 0.9133059354284718, -0.1277067062404047, 0.8979546135631256, 0.5726119718701219, 0.7325785971633969, -0.6536691570081037, -0.850102825973786, 0.2014854427555386, -0.6640556325631923, 0.4667603350211398, -0.18311227969597055, 0.05581764683584067, 0.875143167901884, 0.043392244889916, -0.7836132342255386, -0.6835531856304011, 0.09040530340642561, 0.04880816013694678, 0.2752204882519873, -0.1970091128194542, 0.2996102180386846, -0.20619999419653467, 0.24783222709644614, 0.5348099341802477, -0.6420521799177383, -0.24884846282491524, 0.005066118653868745, 0.3733341598326916, -0.4926407026772337, 0.10948172588511706, 0.24986168812819542, 0.7910023321122921, -0.27429282313374714, 0.2751141460374733, -0.6171071957620733, -0.004411770765388567, -0.6351091908575863, 0.8367660782795254, -0.13635585731754474, 0.6603762041966925, -0.16644739064327485, 0.8093351774867339, -0.19034956537818792, -0.33765099381775454, 0.14427754054549724, 0.6908872981882266, 0.7220286235061439, 0.19137623413666893, -0.8306767779591795, 0.19453321463834983, -0.5090925828337958, 0.46518689717993555, 0.7893025846334776, 0.0294679418262902, 0.20712702072041278, -0.8698643752343853, 0.08014945928561268, -0.7416264326591246, 0.22912569270066396, -0.2726993059103242, 0.5355160686614915, -0.902931727160895, -0.7803637637643119, 0.36804643024725525, 0.029307394167312983, 0.1432827432294983, 0.6874139879813108, -0.024524721700651453, 0.6202888442522898, 0.020487258589880097, 0.8534413864805024, 0.333855543079252, -0.7025463211318861, -0.27089364934848836, 0.7315498318881986, -0.29942957828896866, -0.6219484810876903, -0.0547573816684539, -0.21443765035574014, 0.23785985328818726, -0.12646741612097356, -0.47815568541100895, -0.17505557667448635, -0.16193193089539926, 0.8048437117522818, 0.9592325240809707, 0.24713767881382775, -0.8336317548582777, 0.46599743519199, 0.357370804957968, 0.6520457340504391, -0.3050973265778887, -0.8822398116837538, 0.2236436329105842, -0.751970763373456, 0.5190590583266628, 0.5888466351532844, -0.18274642650020412, 0.8875950117660911, -0.6524404124894483, 0.8851716994539605]",sa,relu,False,False,100,[10],0.1,1000
