,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,hamming_factors_decays
50,0,6.0,300,0.06785200000001623,"[2, 6, 7, 5, 1, 0, 7, 0]",300,0.6,100,
51,10,2.0,3312,0.9872311000000025,"[1, 3, 0, 7, 4, 0, 5, 2]",300,0.6,100,
52,20,2.0,3914,1.151452699999993,"[1, 3, 0, 7, 4, 0, 5, 2]",300,0.6,100,
53,50,2.0,3914,1.151452699999993,"[1, 3, 0, 7, 4, 0, 5, 2]",300,0.6,100,
54,100,2.0,3914,1.151452699999993,"[1, 3, 0, 7, 4, 0, 5, 2]",300,0.6,100,
55,0,6.0,300,0.0671141999999918,"[2, 6, 7, 5, 1, 0, 7, 0]",300,0.8,100,
56,10,1.0,3313,0.9439034000000106,"[1, 3, 0, 6, 3, 5, 2, 4]",300,0.8,100,
57,20,1.0,5420,1.513403000000011,"[1, 3, 0, 6, 3, 5, 2, 4]",300,0.8,100,
58,50,1.0,5420,1.513403000000011,"[1, 3, 0, 6, 3, 5, 2, 4]",300,0.8,100,
59,100,1.0,5420,1.513403000000011,"[1, 3, 0, 6, 3, 5, 2, 4]",300,0.8,100,
60,0,6.0,400,0.09302990000000477,"[2, 6, 7, 5, 1, 0, 7, 0]",400,0.2,100,
61,10,1.0,4413,1.1951901999999848,"[2, 4, 1, 7, 3, 6, 0, 5]",400,0.2,100,
62,20,1.0,7621,2.0305220999999847,"[2, 4, 1, 7, 3, 6, 0, 5]",400,0.2,100,
63,50,1.0,7621,2.0305220999999847,"[2, 4, 1, 7, 3, 6, 0, 5]",400,0.2,100,
64,100,1.0,7621,2.0305220999999847,"[2, 4, 1, 7, 3, 6, 0, 5]",400,0.2,100,
65,0,6.0,400,0.08839019999999209,"[2, 6, 7, 5, 1, 0, 7, 0]",400,0.4,100,
66,10,0.0,4013,1.1005177999999773,"[3, 1, 7, 4, 6, 0, 2, 5]",400,0.4,100,
67,20,0.0,4013,1.1005177999999773,"[3, 1, 7, 4, 6, 0, 2, 5]",400,0.4,100,
68,50,0.0,4013,1.1005177999999773,"[3, 1, 7, 4, 6, 0, 2, 5]",400,0.4,100,
69,100,0.0,4013,1.1005177999999773,"[3, 1, 7, 4, 6, 0, 2, 5]",400,0.4,100,
70,0,6.0,400,0.08780980000000227,"[2, 6, 7, 5, 1, 0, 7, 0]",400,0.6,100,
71,10,1.0,4413,1.2946262000000104,"[4, 2, 0, 5, 3, 1, 6, 2]",400,0.6,100,
72,20,1.0,7621,2.1526942000000133,"[4, 2, 0, 5, 3, 1, 6, 2]",400,0.6,100,
73,50,1.0,7621,2.1526942000000133,"[4, 2, 0, 5, 3, 1, 6, 2]",400,0.6,100,
74,100,1.0,7621,2.1526942000000133,"[4, 2, 0, 5, 3, 1, 6, 2]",400,0.6,100,
75,0,6.0,400,0.08871380000002205,"[2, 6, 7, 5, 1, 0, 7, 0]",400,0.8,100,
76,10,1.0,4412,1.2633200000000215,"[3, 5, 7, 2, 0, 6, 1, 7]",400,0.8,100,
77,20,0.0,7621,2.0557950000000176,"[5, 7, 1, 3, 0, 6, 4, 2]",400,0.8,100,
78,50,0.0,7621,2.0557950000000176,"[5, 7, 1, 3, 0, 6, 4, 2]",400,0.8,100,
79,100,0.0,7621,2.0557950000000176,"[5, 7, 1, 3, 0, 6, 4, 2]",400,0.8,100,
