,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
86,86,251.06073639995884,81.0,8787.0,False,100,0.2,1000
87,87,253.98774869996123,81.0,8888.0,False,100,0.2,1000
88,88,256.9133571999846,81.0,8989.0,False,100,0.2,1000
89,89,259.8400860999245,81.0,9090.0,False,100,0.2,1000
90,90,262.76986609993037,81.0,9191.0,False,100,0.2,1000
91,91,265.69717619998846,81.0,9292.0,False,100,0.2,1000
92,92,268.61970089992974,81.0,9393.0,False,100,0.2,1000
93,93,271.53576769994106,81.0,9494.0,False,100,0.2,1000
94,94,274.4482629999984,81.0,9595.0,False,100,0.2,1000
95,95,277.36922609992325,81.0,9696.0,False,100,0.2,1000
96,96,280.2843913999386,81.0,9797.0,False,100,0.2,1000
97,97,283.2040160000324,81.0,9898.0,False,100,0.2,1000
98,98,286.11561640002765,81.0,9999.0,False,100,0.2,1000
99,99,289.0302896000212,81.0,10100.0,False,100,0.2,1000
100,100,291.9425098999636,81.0,10201.0,False,100,0.2,1000
101,101,294.87095190002583,81.0,10302.0,False,100,0.2,1000
102,0,0.1224846999393776,109.0,100.0,False,100,0.4,1000
103,1,3.0658126999624074,81.0,202.0,False,100,0.4,1000
104,2,6.177974999998696,81.0,303.0,False,100,0.4,1000
105,3,9.071945699979551,81.0,404.0,False,100,0.4,1000
106,4,11.983273299993016,81.0,505.0,False,100,0.4,1000
107,5,14.895422099973075,81.0,606.0,False,100,0.4,1000
108,6,17.813762499950826,81.0,707.0,False,100,0.4,1000
109,7,20.72926329995971,81.0,808.0,False,100,0.4,1000
110,8,23.643957799999043,81.0,909.0,False,100,0.4,1000
111,9,26.559075199998915,81.0,1010.0,False,100,0.4,1000
112,10,29.476220299955457,81.0,1111.0,False,100,0.4,1000
113,11,32.4043732000282,81.0,1212.0,False,100,0.4,1000
114,12,35.32252649997827,81.0,1313.0,False,100,0.4,1000
115,13,38.24903720000293,81.0,1414.0,False,100,0.4,1000
