,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters,hamming_factors_decays
0,0,0.0036193999999998283,182.4047677062297,100.0,100,0.2,100,
1,1,0.02139179999999996,138.84411657201883,202.0,100,0.2,100,
2,2,0.03462440000000022,138.84411657201883,303.0,100,0.2,100,
3,3,0.04796289999999992,138.84411657201883,404.0,100,0.2,100,
4,4,0.06269090000000155,133.63210806668587,506.0,100,0.2,100,
5,5,0.07630990000000004,133.63210806668587,607.0,100,0.2,100,
6,6,0.09013090000000012,133.63210806668587,708.0,100,0.2,100,
7,7,0.1046168999999999,129.5834133614058,810.0,100,0.2,100,
8,8,0.11775370000000152,127.33966896814945,912.0,100,0.2,100,
9,9,0.13045600000000057,126.30711133949723,1014.0,100,0.2,100,
10,10,0.14286810000000116,125.2118757979966,1116.0,100,0.2,100,
11,11,0.16206500000000013,123.93355754549907,1218.0,100,0.2,100,
12,12,0.17575930000000106,120.88608634475369,1320.0,100,0.2,100,
13,13,0.18829780000000085,120.88608634475369,1421.0,100,0.2,100,
14,14,0.20129640000000038,119.49409297796534,1523.0,100,0.2,100,
15,15,0.216288500000001,119.49409297796534,1624.0,100,0.2,100,
16,16,0.22902850000000008,118.15032785095808,1726.0,100,0.2,100,
17,17,0.2415571000000014,113.37158665863255,1828.0,100,0.2,100,
18,18,0.2545459000000001,113.37158665863255,1929.0,100,0.2,100,
19,19,0.26814610000000094,113.37158665863255,2030.0,100,0.2,100,
20,20,0.28066990000000125,108.32289356027259,2132.0,100,0.2,100,
21,21,0.3002229000000014,108.32289356027259,2233.0,100,0.2,100,
22,22,0.31292030000000004,105.8999972791391,2335.0,100,0.2,100,
23,23,0.32549830000000135,105.8999972791391,2436.0,100,0.2,100,
24,24,0.33812130000000096,105.35881833498792,2538.0,100,0.2,100,
25,25,0.3514040999999999,94.84864663257032,2640.0,100,0.2,100,
26,26,0.36672680000000035,94.84864663257032,2741.0,100,0.2,100,
27,27,0.37972670000000086,94.84864663257032,2842.0,100,0.2,100,
28,28,0.3935088000000011,94.84864663257032,2943.0,100,0.2,100,
29,29,0.40653960000000033,94.84864663257032,3044.0,100,0.2,100,
30,30,0.42190120000000064,94.84864663257032,3145.0,100,0.2,100,
31,31,0.4350215000000013,94.84864663257032,3246.0,100,0.2,100,
32,32,0.4477808000000003,94.84864663257032,3347.0,100,0.2,100,
33,33,0.46062090000000033,94.84864663257032,3448.0,100,0.2,100,
34,34,0.47585740000000065,94.84864663257032,3549.0,100,0.2,100,
35,35,0.48837940000000124,91.72961780587055,3651.0,100,0.2,100,
36,36,0.5027792000000009,91.72961780587055,3752.0,100,0.2,100,
37,37,0.5165350000000011,91.72961780587055,3853.0,100,0.2,100,
38,38,0.5299450000000014,91.47916333460611,3955.0,100,0.2,100,
39,39,0.5425315000000008,90.48930660834164,4057.0,100,0.2,100,
40,40,0.5552561000000011,87.17320195290708,4159.0,100,0.2,100,
