,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,hamming_factors_decays
70,0,197.66649171001617,400,0.013752900005783886,"[19, 3, 18, 6, 13, 4, 0, 17, 12, 11, 15, 10, 9, 2, 16, 7, 8, 1, 5, 14]",400,0.6,100,
71,10,129.28082303559827,4416,0.4772845000261441,"[1, 4, 2, 18, 10, 3, 0, 5, 17, 16, 9, 8, 15, 13, 12, 14, 6, 7, 19, 11]",400,0.6,100,
72,20,103.88504962063644,8433,0.9410973000340164,"[6, 16, 14, 17, 18, 1, 4, 2, 12, 0, 11, 5, 13, 8, 15, 9, 3, 10, 7, 19]",400,0.6,100,
73,50,78.47655757426874,20471,2.3127857000217773,"[16, 6, 14, 17, 2, 12, 4, 1, 18, 0, 11, 3, 5, 10, 9, 8, 15, 13, 19, 7]",400,0.6,100,
74,100,77.07658425411668,40527,4.565748599998187,"[7, 16, 6, 14, 17, 12, 2, 4, 1, 18, 11, 0, 3, 5, 10, 9, 15, 8, 13, 19]",400,0.6,100,
75,0,197.66649171001617,400,0.014091899967752397,"[19, 3, 18, 6, 13, 4, 0, 17, 12, 11, 15, 10, 9, 2, 16, 7, 8, 1, 5, 14]",400,0.8,100,
76,10,115.06505711444969,4415,0.47865489998366684,"[0, 11, 3, 10, 7, 16, 9, 15, 8, 13, 2, 1, 18, 5, 19, 6, 14, 12, 17, 4]",400,0.8,100,
77,20,110.50033936431007,8426,0.9426096999668516,"[17, 2, 1, 18, 10, 9, 15, 8, 13, 3, 5, 0, 11, 4, 7, 16, 19, 6, 14, 12]",400,0.8,100,
78,50,85.31956980673652,20466,2.3207610999816097,"[14, 17, 12, 2, 1, 18, 4, 11, 0, 3, 10, 5, 9, 15, 8, 13, 7, 16, 6, 19]",400,0.8,100,
79,100,77.07658425411665,40526,4.597012399986852,"[14, 17, 12, 2, 4, 1, 18, 11, 0, 5, 3, 10, 9, 15, 8, 13, 19, 7, 16, 6]",400,0.8,100,
